ticker,name,market,price,change_1d_pct,change_5d_pct,vol_ratio,vol_avg_5d,vol_avg_20d,near_high_pct,alerts,alert_count,scan_time,in_watchlist
8035.T,TOKYO ELECTRON,JP,59920.0,8.91,11.56,1.46,4912460,3353270,-5.87,5日急騰 +11.6% / 単日急騰 +8.9%,2,2026-06-09 23:16,True
6752.T,PANASONIC HOLDINGS CORP,JP,3924.0,9.79,9.15,1.2,14735680,12295605,0.0,単日急騰 +9.8% / 新高値圏,2,2026-06-09 23:17,False
6146.T,DISCO CORPORATION,JP,71520.0,5.99,11.4,1.11,1936280,1744770,-6.62,5日急騰 +11.4%,1,2026-06-09 23:16,True
7735.T,SCREEN HOLDINGS CO LTD,JP,12455.0,5.91,10.08,1.11,3017740,2713110,-7.33,5日急騰 +10.1%,1,2026-06-09 23:17,False
UNH,UnitedHealth Group Incorporated,US,413.0,1.58,9.28,1.25,9182669,7320942,0.0,新高値圏,1,2026-06-09 23:16,False
LLY,Eli Lilly and Company,US,1144.6800537109375,-0.39,7.57,1.17,3811143,3250300,-0.39,新高値圏,1,2026-06-09 23:16,True
2801.T,KIKKOMAN CORP,JP,1552.5,6.05,7.48,1.16,5167140,4437285,-1.8,新高値圏,1,2026-06-09 23:17,True
DXCM,"DexCom, Inc.",US,78.19000244140625,2.05,6.45,0.77,5522787,7200536,0.0,新高値圏,1,2026-06-09 23:16,True
8411.T,MIZUHO FINANCIAL GROUP,JP,7690.0,1.69,4.68,0.9,10789060,11984605,-0.34,新高値圏,1,2026-06-09 23:16,True
ABBV,AbbVie Inc.,US,225.4199981689453,1.05,4.65,1.0,5534867,5516431,-0.8,新高値圏,1,2026-06-09 23:16,True
KLAC,KLA Corporation,US,2139.3701171875,1.49,4.6,1.26,1298104,1034231,0.0,新高値圏,1,2026-06-09 23:16,True
8306.T,MITSUBISHI UFJ FINANCIAL GROUP ,JP,3180.0,0.38,4.4,1.06,47915420,45392750,-1.21,新高値圏,1,2026-06-09 23:16,True
8316.T,SUMITOMO MITSUI FINANCIAL GROUP,JP,6182.0,1.26,3.88,0.99,14779420,14905180,-0.77,新高値圏,1,2026-06-09 23:16,True
6098.T,RECRUIT HOLDINGS CO LTD,JP,11185.0,4.0,3.14,0.55,4197880,7605545,0.0,新高値圏,1,2026-06-09 23:16,True
AMAT,"Applied Materials, Inc.",US,499.2099914550781,1.43,1.87,1.13,9676573,8587983,-0.5,新高値圏,1,2026-06-09 23:16,True
6963.T,ROHM CO LTD,JP,5242.0,8.87,1.79,0.95,6157660,6465005,-6.66,単日急騰 +8.9%,1,2026-06-09 23:16,True
EA,Electronic Arts Inc.,US,202.47999572753906,-0.35,0.23,0.98,1913154,1943663,-0.73,新高値圏,1,2026-06-09 23:16,True
6981.T,MURATA MANUFACTURING CO,JP,9692.0,11.26,-5.26,1.32,42112520,31996330,-7.61,単日急騰 +11.3%,1,2026-06-09 23:17,False
