ticker,name,sector,market,price,change_pct,volume,vol_avg_20d,vol_ratio,high_52w,low_52w,pos_52w_pct,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_histogram,bb_upper,bb_lower,bb_position,cross_signal,pe_ratio,peg_ratio,market_cap,revenue_growth_pct,dividend_yield_pct,target_price,upside_pct,fetch_time,name_sent,combined_sentiment,sentiment_data_sources,fetch_time_sent,gtrends_current,gtrends_avg,gtrends_max,gtrends_trend_ratio,gtrends_is_trending,tech_score,tech_reasons,fund_score,fund_reasons,sent_score,sent_reasons,mom_score,mom_reasons,total_score,signal,analysis_time
UBER,Uber Technologies,モビリティ,US,74.35,-1.32,5157099,19020419,0.27,100.1,64.62,27.4,74.55,77.16,87.54,45.5,-0.233,-0.5674,0.3343,78.23,70.87,47.3,なし,15.72,,154476298240,20.1,,103.81077,39.6,2026-03-20T23:41:50.518783,Uber Technologies,-6.0,1,2026-03-20T23:43:18.548938,11.0,13.1,15.0,0.94,False,50,RSI中立(46) / MACDヒストグラム上昇 / BB中間以下(47%) / 200日SMA下,80,52週安値圏(27%) / PER 16x / 成長(20%) / 上値余地大(+40%),15,SNS中立(-6),0,出来高減少(0.3x) / 下落トレンド,44.5,★ 要注目,2026-03-20T23:43:18.562622
4661,オリエンタルランド,レジャー/テーマパーク,JP,2724.0,-3.81,6346500,4806440,1.32,3707.66,2650.0,7.0,2780.68,2790.48,3137.65,42.7,-0.5073,0.4035,-0.9108,2863.43,2697.92,15.8,なし,35.21,,4466040373248,2.9,51.0,3584.4685,31.6,2026-03-20T23:42:01.482376,オリエンタルランド,0.0,0,2026-03-20T23:43:18.549009,,,,,,40,RSI中立(43) / MACDマイナス圏 / BB下限付近(16%) / 200日SMA下,60,52週最安値圏(7%) / PERやや高(35x) / 低成長(3%) / 高配当(51.0%),45,SNS中立(0) / 検索急上昇(nanx),20,出来高やや増(1.3x) / 下落トレンド,44.0,★ 要注目,2026-03-20T23:43:18.563340
MRVL,Marvell Technology,半導体,US,88.97,-0.63,2907696,20810224,0.14,100.13,49.27,78.1,85.01,82.22,80.25,60.2,2.4514,2.1036,0.3478,96.95,73.07,66.6,なし,28.98,,77786472448,22.1,27.0,120.50163,35.4,2026-03-20T23:41:39.093308,Marvell Technology,0.0,0,2026-03-20T23:43:18.548815,,,,,,40,RSIやや高(60) / MACDプラス圏上昇 / BB上方(67%) / 200日SMA上,45,52週高値圏(78%) / PER 29x / 成長(22%) / 上値余地大(+35%),45,SNS中立(0) / 検索急上昇(nanx),50,出来高減少(0.1x) / 強い上昇トレンド,44.0,★ 要注目,2026-03-20T23:43:18.561729
NVO,Novo Nordisk,ヘルスケア/製薬,US,36.66,-1.13,8735122,27223126,0.32,80.15,36.66,0.0,38.18,48.31,54.72,44.4,-2.7468,-3.1275,0.3808,39.91,36.44,6.3,なし,10.3,,163418685440,-7.6,501.0,47.22278,28.8,2026-03-20T23:41:52.947822,Novo Nordisk,-24.0,1,2026-03-20T23:43:18.548954,1.0,0.9,3.0,0.76,False,65,RSI中立(44) / MACDヒストグラム上昇 / BB下限突破(6%) / 200日SMA下,70,52週最安値圏(0%) / PER 10x / 減収(-8%) / 上値余地あり(+29%),0,SNS弱気(-24),0,出来高減少(0.3x) / 下落トレンド,43.8,★ 要注目,2026-03-20T23:43:18.562784
8058,三菱商事,総合商社,JP,5397.0,-5.51,22540600,12627965,1.78,5712.0,2298.47,90.8,5185.9,4650.54,3635.28,52.5,198.6523,197.582,1.0703,5546.1,4825.7,79.3,なし,30.77,,19821819330560,9.9,204.0,4773.6245,-11.6,2026-03-20T23:42:02.350200,三菱商事,0.0,0,2026-03-20T23:43:18.549011,,,,,,40,RSIやや高(52) / MACDプラス圏上昇 / BB上方(79%) / 200日SMA上,30,52週高値圏(91%) / PERやや高(31x) / 低成長(10%) / 高配当(204.0%),45,SNS中立(0) / 検索急上昇(nanx),70,出来高やや増(1.8x) / 強い上昇トレンド,42.5,★ 要注目,2026-03-20T23:43:18.563405
META,Meta Platforms,テック/広告,US,595.44,-1.86,5458242,11729647,0.47,788.15,483.15,36.8,639.25,649.54,689.45,28.6,-12.4757,-7.4221,-5.0536,678.57,599.94,-5.7,なし,25.36,,1506198552576,23.8,35.0,863.62933,45.0,2026-03-20T23:41:43.660581,Meta Platforms,-15.0,1,2026-03-20T23:43:18.548880,55.0,66.4,100.0,0.85,False,60,RSI売られすぎ(29) / MACDマイナス圏 / BB下限突破(-6%) / 200日SMA下,60,52週中間以下(37%) / PER 25x / 成長(24%) / 上値余地大(+45%),15,SNS中立(-15),0,出来高減少(0.5x) / 下落トレンド,42.0,★ 要注目,2026-03-20T23:43:18.562083
7974,任天堂,ゲーム/エンタメ,JP,9734.0,-1.27,10748500,12811015,0.84,14607.65,8350.0,22.1,9141.1,9485.28,11967.73,62.3,174.247,20.5576,153.6894,10442.84,7839.36,72.8,なし,30.67,,11221637005312,86.3,186.0,12402.73,27.4,2026-03-20T23:42:05.805229,任天堂,-37.0,1,2026-03-20T23:43:18.549031,6.0,16.2,70.0,0.63,False,35,RSIやや高(62) / MACDプラス圏上昇 / BB上方(73%) / 200日SMA下,75,52週安値圏(22%) / PERやや高(31x) / 超高成長(86%) / 高配当(186.0%),0,SNS弱気(-37),40,出来高平常(0.8x) / 短期上昇,40.8,★ 要注目,2026-03-20T23:43:18.563603
LLY,Eli Lilly,ヘルスケア/製薬,US,916.1,-0.15,1058967,2819598,0.38,1108.09,622.32,60.5,992.47,1024.05,890.26,21.0,-28.0625,-19.1687,-8.8939,1078.56,906.38,5.6,なし,39.97,,820553121792,42.6,68.0,1209.3448,32.0,2026-03-20T23:41:52.410254,Eli Lilly,-15.0,1,2026-03-20T23:43:18.548950,1.0,1.0,2.0,0.85,False,65,RSI売られすぎ(21) / MACDマイナス圏 / BB下限突破(6%) / 200日SMA上,50,52週中間付近(60%) / PER 40x / 高成長(43%) / 上値余地大(+32%),15,SNS中立(-15),0,出来高減少(0.4x) / 下落トレンド,40.8,★ 要注目,2026-03-20T23:43:18.562751
8316,三井住友FG,メガバンク,JP,5156.0,-1.9,13725700,15916685,0.86,6204.0,2816.75,69.1,5476.85,5544.6,4437.98,28.2,-137.5125,-96.8031,-40.7094,6158.64,4795.06,26.5,なし,13.79,,19685626085376,21.8,304.0,5878.205,14.0,2026-03-20T23:42:04.610214,三井住友FG,-23.0,1,2026-03-20T23:43:18.549024,8.0,16.8,30.0,0.77,False,60,RSI売られすぎ(28) / MACDマイナス圏 / BB下限付近(26%) / 200日SMA上,60,52週中間付近(69%) / PER割安(14x) / 成長(22%) / 高配当(304.0%),0,SNS弱気(-23),10,出来高平常(0.9x) / 下落トレンド,40.5,★ 要注目,2026-03-20T23:43:18.563538
6501,日立製作所,総合電機/IT,JP,4849.0,-0.41,16630800,16591955,1.0,5818.0,2677.77,69.1,4896.4,5110.86,4572.06,35.3,-76.7798,-80.9422,4.1624,5152.3,4640.5,40.7,なし,28.99,,21871751856128,10.1,93.0,5876.923,21.2,2026-03-20T23:42:06.733889,日立製作所,-15.0,1,2026-03-20T23:43:18.549040,43.0,62.9,100.0,0.85,False,60,RSI低め(35) / MACDヒストグラム上昇 / BB中間以下(41%) / 200日SMA上,50,52週中間付近(69%) / PER適正(29x) / 成長(10%) / 高配当(93.0%),15,SNS中立(-15),10,出来高平常(1.0x) / 下落トレンド,40.5,★ 要注目,2026-03-20T23:43:18.563667
