ticker,name,sector,market,price,change_pct,volume,vol_avg_20d,vol_ratio,high_52w,low_52w,pos_52w_pct,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_histogram,bb_upper,bb_lower,bb_position,cross_signal,pe_ratio,peg_ratio,market_cap,revenue_growth_pct,dividend_yield_pct,target_price,upside_pct,fetch_time,name_sent,combined_sentiment,sentiment_data_sources,fetch_time_sent,gtrends_current,gtrends_avg,gtrends_max,gtrends_trend_ratio,gtrends_is_trending,tech_score,tech_reasons,fund_score,fund_reasons,sent_score,sent_reasons,mom_score,mom_reasons,total_score,signal,analysis_time
AAPL,Apple,テック/消費者,US,247.71,-0.5,17113966,37930513,0.45,285.92,171.67,66.6,259.97,261.02,246.45,23.4,-4.2056,-2.8261,-1.3795,275.86,244.09,11.4,なし,31.4,,3640896520192,15.7,42.0,295.43536,19.3,2026-03-20T23:41:44.998016,Apple,-14.0,1,2026-03-20T23:43:18.548891,10.0,11.9,35.0,0.86,False,60,RSI売られすぎ(23) / MACDマイナス圏 / BB下限付近(11%) / 200日SMA上,35,52週中間付近(67%) / PER 31x / 成長(16%) / 上値余地あり(+19%),15,SNS中立(-14),0,出来高減少(0.5x) / 下落トレンド,34.5,△ 様子見,2026-03-20T23:43:18.562184
XYZ,Block (Square),フィンテック,US,59.27,0.47,1452878,11044513,0.13,81.11,46.53,36.8,60.47,60.41,68.31,35.0,0.172,0.5938,-0.4219,70.84,50.1,44.2,ゴールデンクロス,28.22,,36016308224,3.6,,86.39895,45.8,2026-03-20T23:41:51.346268,Block (Square),-34.0,1,2026-03-20T23:43:18.548943,9.0,12.2,90.0,0.66,False,50,RSI低め(35) / MACDマイナス圏 / BB中間以下(44%) / ゴールデンクロス発生!,55,52週中間以下(37%) / PER 28x / 低成長(4%) / 上値余地大(+46%),0,SNS弱気(-34),0,出来高減少(0.1x) / 下落トレンド,34.0,△ 様子見,2026-03-20T23:43:18.562686
AVGO,Broadcom,半導体/AI,US,315.99,-1.2,6353184,28273209,0.22,412.18,145.42,63.9,326.44,330.53,324.56,48.3,-3.0928,-1.719,-1.3738,345.56,307.32,22.7,なし,61.72,,1498195034112,16.4,81.0,472.00763,49.4,2026-03-20T23:41:38.662624,Broadcom,0.0,0,2026-03-20T23:43:18.548813,,,,,,40,RSI中立(48) / MACDマイナス圏 / BB下限付近(23%) / 200日SMA下,35,52週中間付近(64%) / PER 62x / 成長(16%) / 上値余地大(+49%),45,SNS中立(0) / 検索急上昇(nanx),0,出来高減少(0.2x) / 下落トレンド,33.5,△ 様子見,2026-03-20T23:43:18.561691
4063,信越化学工業,半導体材料,JP,6373.0,-5.16,10998400,9860285,1.12,6720.0,3509.83,89.2,6176.65,5693.08,4900.28,54.2,256.4551,243.0562,13.3989,6710.09,5643.21,68.4,なし,24.69,,11942897909760,-2.1,166.0,6334.706,-0.6,2026-03-20T23:41:59.688205,信越化学工業,-27.0,1,2026-03-20T23:43:18.548999,8.0,14.0,43.0,0.73,False,40,RSIやや高(54) / MACDプラス圏上昇 / BB上方(68%) / 200日SMA上,35,52週高値圏(89%) / PER適正(25x) / 減収(-2%) / 高配当(166.0%),0,SNS弱気(-27),60,出来高平常(1.1x) / 強い上昇トレンド,33.5,△ 様子見,2026-03-20T23:43:18.563211
COIN,Coinbase,暗号資産,US,202.17,-0.36,2442067,12590603,0.19,419.78,141.09,21.9,192.36,195.82,283.77,60.5,4.2305,2.2216,2.0089,221.08,163.64,67.1,なし,45.53,,54516674560,-22.2,,252.10483,24.7,2026-03-20T23:41:51.754615,Coinbase,-10.0,1,2026-03-20T23:43:18.548946,67.0,79.4,100.0,0.9,False,35,RSIやや高(60) / MACDプラス圏上昇 / BB上方(67%) / 200日SMA下,45,52週安値圏(22%) / PER 46x / 減収(-22%) / 上値余地あり(+25%),15,SNS中立(-10),30,出来高減少(0.2x) / 短期上昇,33.2,△ 様子見,2026-03-20T23:43:18.562719
PANW,Palo Alto Networks,サイバーセキュリティ,US,164.88,-2.86,1977549,9170182,0.22,221.38,141.67,29.1,159.64,168.32,189.54,75.8,1.1394,-0.3879,1.5273,178.75,140.54,63.7,なし,91.6,,134542082048,14.9,,207.74898,26.0,2026-03-20T23:41:49.739068,Palo Alto Networks,0.0,1,2026-03-20T23:43:18.548930,0.0,0.0,0.0,1.0,False,30,RSI買われすぎ(76) / MACDプラス圏上昇 / BB上方(64%) / 200日SMA下,50,52週安値圏(29%) / PER 92x / 成長(15%) / 上値余地あり(+26%),15,SNS中立(0),30,出来高減少(0.2x) / 短期上昇,33.0,△ 様子見,2026-03-20T23:43:18.562557
9983,ファーストリテイリング,小売/アパレル,JP,63430.0,-3.68,1242100,944880,1.31,69030.0,41255.98,79.8,65605.32,63677.81,53460.55,31.8,123.659,437.5176,-313.8586,68921.44,62289.19,17.2,なし,45.04,,19462212288512,14.8,85.0,65560.21,3.4,2026-03-20T23:42:06.297637,ファーストリテイリング,-16.0,1,2026-03-20T23:43:18.549035,13.0,13.5,40.0,0.84,False,50,RSI低め(32) / MACDマイナス圏 / BB下限付近(17%) / 200日SMA上,30,52週高値圏(80%) / PER過熱(45x) / 成長(15%) / 高配当(85.0%),15,SNS中立(-16),20,出来高やや増(1.3x) / 下落トレンド,32.5,△ 様子見,2026-03-20T23:43:18.563635
8306,三菱UFJ FG,メガバンク,JP,2686.0,-1.65,39731200,47483105,0.84,3085.0,1473.64,75.2,2769.45,2818.48,2364.83,32.8,-46.8888,-37.6614,-9.2274,3009.54,2529.36,32.6,なし,15.95,,30318486618112,11.7,290.0,3060.0,13.9,2026-03-20T23:42:03.970573,三菱UFJ FG,-28.0,1,2026-03-20T23:43:18.549020,11.0,25.9,49.0,0.72,False,40,RSI低め(33) / MACDマイナス圏 / BB中間以下(33%) / 200日SMA上,55,52週高値圏(75%) / PER割安(16x) / 成長(12%) / 高配当(290.0%),0,SNS弱気(-28),10,出来高平常(0.8x) / 下落トレンド,32.0,△ 様子見,2026-03-20T23:43:18.563500
CRWD,CrowdStrike,サイバーセキュリティ,US,409.68,-4.32,1635126,4883761,0.33,557.53,321.63,37.3,409.13,425.69,467.54,60.9,3.0681,1.4038,1.6643,472.73,345.53,50.4,なし,66.34,,103901888512,23.3,,490.4775,19.7,2026-03-20T23:41:48.942052,CrowdStrike,0.0,1,2026-03-20T23:43:18.548924,0.0,0.0,0.0,1.0,False,35,RSIやや高(61) / MACDプラス圏上昇 / BB上方(50%) / 200日SMA下,40,52週中間以下(37%) / PER 66x / 成長(23%) / 上値余地あり(+20%),15,SNS中立(0),30,出来高減少(0.3x) / 短期上昇,31.8,△ 様子見,2026-03-20T23:43:18.562487
6367,ダイキン工業,空調/機械,JP,19370.0,-2.07,1240000,1236850,1.0,20770.0,15016.78,75.7,19585.75,19428.0,18604.55,45.0,-53.4475,-30.9873,-22.4603,20544.0,18627.5,38.7,なし,20.7,,5672094662656,7.9,170.0,21855.086,12.8,2026-03-20T23:42:05.327345,ダイキン工業,9.0,1,2026-03-20T23:43:18.549027,3.0,4.3,12.0,1.09,False,35,RSI中立(45) / MACDマイナス圏 / BB中間以下(39%) / 200日SMA上,40,52週高値圏(76%) / PER適正(21x) / 低成長(8%) / 高配当(170.0%),30,SNS中立(9) / 検索上昇傾向(1.1x),10,出来高平常(1.0x) / 下落トレンド,31.8,△ 様子見,2026-03-20T23:43:18.563571
6857,アドバンテスト,半導体テスト装置,JP,23980.0,-4.58,8793000,9489925,0.93,28615.0,5023.91,80.4,25286.5,24624.6,16953.65,39.3,-292.2702,-74.5076,-217.7626,28261.19,22311.81,28.0,なし,67.57,,17409825046528,25.5,20.0,28372.223,18.3,2026-03-20T23:41:57.711436,アドバンテスト,-36.0,1,2026-03-20T23:43:18.548984,2.0,5.1,17.0,0.64,False,50,RSI低め(39) / MACDマイナス圏 / BB下限付近(28%) / 200日SMA上,40,52週高値圏(80%) / PER過熱(68x) / 高成長(26%) / 高配当(20.0%),0,SNS弱気(-36),10,出来高平常(0.9x) / 下落トレンド,31.0,△ 様子見,2026-03-20T23:43:18.563081
TSM,TSMC,半導体ファウンドリ,US,329.9,-2.62,4969154,13203307,0.38,386.64,139.64,77.0,353.55,346.45,283.18,31.2,-4.0343,-0.8892,-3.1451,387.77,319.34,15.4,なし,31.81,,1711027912704,20.5,104.0,430.65167,30.5,2026-03-20T23:41:41.716465,TSMC,-6.0,1,2026-03-20T23:43:18.548866,43.0,41.3,100.0,0.94,False,50,RSI低め(31) / MACDマイナス圏 / BB下限付近(15%) / 200日SMA上,35,52週高値圏(77%) / PER 32x / 成長(20%) / 上値余地大(+30%),15,SNS中立(-6),0,出来高減少(0.4x) / 下落トレンド,31.0,△ 様子見,2026-03-20T23:43:18.561947
6963,ローム,半導体/電子部品,JP,3213.0,-2.43,6985500,6472305,1.08,3474.0,1079.8,89.1,3045.5,2748.57,2214.43,62.7,184.1622,177.9808,6.1814,3611.19,2479.81,64.8,なし,36.98,,1240331452416,,156.0,2595.0,-19.2,2026-03-20T23:42:00.126267,ローム,-37.0,1,2026-03-20T23:43:18.549002,4.0,7.7,100.0,0.63,False,40,RSIやや高(63) / MACDプラス圏上昇 / BB上方(65%) / 200日SMA上,25,52週高値圏(89%) / PERやや高(37x) / 高配当(156.0%),0,SNS弱気(-37),60,出来高平常(1.1x) / 強い上昇トレンド,30.5,△ 様子見,2026-03-20T23:43:18.563243
PLTR,Palantir,AI/ソフトウェア,US,151.58,-2.63,13569965,47945888,0.28,207.18,74.01,58.2,147.68,151.59,163.43,58.6,1.8119,0.8112,1.0007,165.81,129.55,60.8,なし,244.48,,362530209792,70.0,,186.60307,23.1,2026-03-20T23:41:44.066041,Palantir,-33.0,1,2026-03-20T23:43:18.548884,2.0,2.8,8.0,0.67,False,35,RSIやや高(59) / MACDプラス圏上昇 / BB上方(61%) / 200日SMA下,45,52週中間付近(58%) / PER 244x / 超高成長(70%) / 上値余地あり(+23%),0,SNS弱気(-33),30,出来高減少(0.3x) / 短期上昇,30.2,△ 様子見,2026-03-20T23:43:18.562117
6861,キーエンス,FA/センサー,JP,59080.0,-2.59,698200,941740,0.74,66839.7,50110.86,53.6,61581.4,59096.16,57097.5,32.1,208.8186,614.1631,-405.3445,66355.46,56807.34,23.8,なし,35.09,,14328388386816,,93.0,70617.65,19.5,2026-03-20T23:41:59.008069,キーエンス,-10.0,1,2026-03-20T23:43:18.548995,5.0,6.0,12.0,0.9,False,50,RSI低め(32) / MACDマイナス圏 / BB下限付近(24%) / 200日SMA上,30,52週中間付近(54%) / PERやや高(35x) / 高配当(93.0%),15,SNS中立(-10),0,出来高減少(0.7x) / 下落トレンド,29.5,△ 様子見,2026-03-20T23:43:18.563177
KLAC,KLA Corporation,半導体検査装置,US,1474.54,-2.45,304295,952979,0.32,1682.52,572.19,81.3,1468.96,1468.38,1143.0,44.7,5.1568,2.0847,3.0721,1568.66,1369.26,52.8,なし,42.98,,193743257600,7.2,50.0,1676.3667,13.7,2026-03-20T23:41:39.932622,KLA Corporation,-44.0,1,2026-03-20T23:43:18.548846,1.0,2.0,7.0,0.56,False,50,RSI中立(45) / MACDプラス圏上昇 / BB上方(53%) / 200日SMA上,15,52週高値圏(81%) / PER 43x / 低成長(7%) / 上値余地小(+14%),0,SNS弱気(-44),50,出来高減少(0.3x) / 強い上昇トレンド,29.5,△ 様子見,2026-03-20T23:43:18.561803
6920,レーザーテック,半導体検査装置,JP,35090.0,-2.58,3239200,4500000,0.72,39220.0,10327.44,85.7,34085.5,33749.7,23993.93,54.5,996.0476,783.2678,212.7798,38401.81,29769.19,61.6,なし,37.45,,3162051969024,-19.7,94.0,35900.0,2.3,2026-03-20T23:41:56.736969,レーザーテック,-27.0,1,2026-03-20T23:43:18.548976,6.0,11.2,100.0,0.73,False,40,RSIやや高(54) / MACDプラス圏上昇 / BB上方(62%) / 200日SMA上,25,52週高値圏(86%) / PERやや高(37x) / 減収(-20%) / 高配当(94.0%),0,SNS弱気(-27),50,出来高減少(0.7x) / 強い上昇トレンド,29.0,△ 様子見,2026-03-20T23:43:18.563016
DXCM,DexCom,ヘルスケア/医療機器,US,67.73,0.68,753923,3929286,0.19,89.53,54.84,37.2,69.73,70.44,72.56,30.0,-1.1396,-0.9184,-0.2211,76.38,63.07,35.0,なし,32.41,,26415802368,13.1,,86.11538,27.1,2026-03-20T23:41:54.554606,DexCom,0.0,1,2026-03-20T23:43:18.548958,0.0,0.0,0.0,1.0,False,35,RSI低め(30) / MACDマイナス圏 / BB中間以下(35%) / 200日SMA下,45,52週中間以下(37%) / PER 32x / 成長(13%) / 上値余地あり(+27%),15,SNS中立(0),0,出来高減少(0.2x) / 下落トレンド,28.8,△ 様子見,2026-03-20T23:43:18.562849
6146,ディスコ,半導体製造装置,JP,69580.0,-1.56,2255700,2246420,1.0,80000.0,23534.81,81.5,72371.5,67992.0,49902.82,41.3,236.5027,1016.809,-780.3063,79500.13,65242.87,30.4,なし,59.88,,7544596070400,16.8,63.0,69036.84,-0.8,2026-03-20T23:41:57.201574,ディスコ,-17.0,1,2026-03-20T23:43:18.548980,3.0,3.9,9.0,0.83,False,35,RSI中立(41) / MACDマイナス圏 / BB中間以下(30%) / 200日SMA上,30,52週高値圏(82%) / PER過熱(60x) / 成長(17%) / 高配当(63.0%),15,SNS中立(-17),25,出来高平常(1.0x) / 中期上昇,28.0,△ 様子見,2026-03-20T23:43:18.563048
CDNS,Cadence Design,半導体EDA,US,285.63,-0.62,549714,2387335,0.23,373.37,231.64,38.1,294.47,299.86,322.74,30.2,-2.9245,-2.171,-0.7535,307.9,281.05,17.1,なし,70.53,,78798315520,6.2,,371.81924,30.2,2026-03-20T23:41:40.894758,Cadence Design,-37.0,1,2026-03-20T23:43:18.548857,1.0,1.6,5.0,0.63,False,45,RSI低め(30) / MACDマイナス圏 / BB下限付近(17%) / 200日SMA下,40,52週中間以下(38%) / PER 71x / 低成長(6%) / 上値余地大(+30%),0,SNS弱気(-37),0,出来高減少(0.2x) / 下落トレンド,27.8,△ 様子見,2026-03-20T23:43:18.561879
NET,Cloudflare,クラウド/セキュリティ,US,223.86,1.13,664486,3802114,0.17,253.3,97.08,81.2,195.6,187.61,200.24,81.8,10.3808,7.3028,3.078,237.14,154.07,84.0,なし,154.94,,78794309632,33.6,,232.43323,3.8,2026-03-20T23:41:48.373885,Cloudflare,-26.0,1,2026-03-20T23:43:18.548921,37.0,47.0,89.0,0.74,False,35,RSI買われすぎ(82) / MACDプラス圏上昇 / BB上方(84%) / 200日SMA上,25,52週高値圏(81%) / PER 155x / 高成長(34%) / 上値余地小(+4%),0,SNS弱気(-26),50,出来高減少(0.2x) / 強い上昇トレンド,27.2,△ 様子見,2026-03-20T23:43:18.562454
8035,東京エレクトロン,半導体製造装置,JP,39330.0,-2.38,2656600,3244595,0.82,46230.0,16890.33,76.5,41698.5,41314.4,30735.0,34.1,-615.376,-250.7664,-364.6095,46609.58,36787.42,25.9,なし,33.44,,17966619951104,-15.7,153.0,47433.332,20.6,2026-03-20T23:41:56.245644,東京エレクトロン,-27.0,1,2026-03-20T23:43:18.548972,6.0,8.0,13.0,0.73,False,50,RSI低め(34) / MACDマイナス圏 / BB下限付近(26%) / 200日SMA上,25,52週高値圏(76%) / PERやや高(33x) / 減収(-16%) / 高配当(153.0%),0,SNS弱気(-27),10,出来高平常(0.8x) / 下落トレンド,26.5,△ 様子見,2026-03-20T23:43:18.562983
TSLA,Tesla,EV/AI/エネルギー,US,373.14,-1.88,23233468,57488993,0.4,489.88,221.86,56.4,398.73,415.39,394.41,34.2,-8.8593,-7.365,-1.4943,418.9,378.57,-13.5,なし,352.02,,1400186994688,-3.1,,421.61365,13.0,2026-03-20T23:41:46.350116,Tesla,-17.0,1,2026-03-20T23:43:18.548902,18.0,20.4,57.0,0.83,False,50,RSI低め(34) / MACDマイナス圏 / BB下限突破(-14%) / 200日SMA下,10,52週中間付近(56%) / PER 352x / 減収(-3%) / 上値余地小(+13%),15,SNS中立(-17),0,出来高減少(0.4x) / 下落トレンド,23.5,△ 様子見,2026-03-20T23:43:18.562290
AMAT,Applied Materials,半導体製造装置,US,349.79,-2.08,1762565,6335708,0.28,394.95,125.82,83.2,355.84,338.26,240.16,41.6,2.5752,4.1358,-1.5605,389.82,321.86,41.1,なし,35.88,,277592834048,-2.1,59.0,410.625,17.4,2026-03-20T23:41:40.495241,Applied Materials,-16.0,1,2026-03-20T23:43:18.548852,13.0,14.9,31.0,0.84,False,35,RSI中立(42) / MACDマイナス圏 / BB中間以下(41%) / 200日SMA上,20,52週高値圏(83%) / PER 36x / 減収(-2%) / 上値余地あり(+17%),15,SNS中立(-16),15,出来高減少(0.3x) / 中期上昇,23.5,△ 様子見,2026-03-20T23:43:18.561839
ABNB,Airbnb,旅行/プラットフォーム,US,129.68,-0.85,862092,4276594,0.2,142.16,105.69,65.8,131.47,129.85,128.57,42.5,0.4028,0.7097,-0.3069,138.87,124.06,37.9,なし,32.18,,77744971776,12.0,,144.98611,11.8,2026-03-20T23:41:50.914292,Airbnb,0.0,0,2026-03-20T23:43:18.548939,0.0,0.1,3.0,0.0,False,35,RSI中立(42) / MACDマイナス圏 / BB中間以下(38%) / 200日SMA上,25,52週中間付近(66%) / PER 32x / 成長(12%) / 上値余地小(+12%),15,SNS中立(0),0,出来高減少(0.2x) / 下落トレンド,22.8,△ 様子見,2026-03-20T23:43:18.562653
INTC,Intel,半導体,US,45.65,-1.15,33234097,77962374,0.43,54.32,18.13,76.0,45.46,46.57,34.2,50.4,-0.0853,-0.0875,0.0023,47.84,43.09,53.9,なし,46.06,,228029906944,-4.1,,47.11098,3.2,2026-03-20T23:41:42.370680,Intel,-43.0,1,2026-03-20T23:43:18.548870,1.0,1.3,5.0,0.57,False,35,RSIやや高(50) / MACDヒストグラム上昇 / BB上方(54%) / 200日SMA上,10,52週高値圏(76%) / PER 46x / 減収(-4%) / 上値余地小(+3%),0,SNS弱気(-43),30,出来高減少(0.4x) / 短期上昇,19.8,△ 様子見,2026-03-20T23:43:18.561981
