ticker,name,market,price,change_1d_pct,change_5d_pct,vol_ratio,vol_avg_5d,vol_avg_20d,near_high_pct,alerts,alert_count,scan_time,in_watchlist
ON,ON Semiconductor Corporation,US,131.5500030517578,8.16,12.64,1.04,12883227,12368121,-1.78,5日急騰 +12.6% / 単日急騰 +8.2% / 新高値圏,3,2026-06-22 23:17,False
MU,"Micron Technology, Inc.",US,1211.3800048828125,6.82,23.41,0.91,49848796,54717939,0.0,5日急騰 +23.4% / 新高値圏,2,2026-06-22 23:17,True
6981.T,MURATA MANUFACTURING CO,JP,12250.0,4.26,21.77,0.84,36080600,43033205,0.0,5日急騰 +21.8% / 新高値圏,2,2026-06-22 23:17,False
2802.T,AJINOMOTO CO INC,JP,6160.0,6.39,21.74,1.34,7778560,5814220,0.0,5日急騰 +21.7% / 新高値圏,2,2026-06-22 23:17,False
285A.T,KIOXIA HOLDINGS CORPORATION,JP,108700.0,0.09,19.57,0.82,30725920,37545740,0.0,5日急騰 +19.6% / 新高値圏,2,2026-06-22 23:17,False
6920.T,LASERTEC CORP,JP,57490.0,4.34,19.03,1.54,5529760,3599290,0.0,5日急騰 +19.0% / 新高値圏,2,2026-06-22 23:17,True
SMCI,"Super Micro Computer, Inc.",US,35.459999084472656,15.66,16.41,0.97,72481913,74866348,-29.32,5日急騰 +16.4% / 単日急騰 +15.7%,2,2026-06-22 23:17,True
7735.T,SCREEN HOLDINGS CO LTD,JP,17010.0,1.58,14.47,1.1,3244440,2958990,0.0,5日急騰 +14.5% / 新高値圏,2,2026-06-22 23:17,False
TTWO,"Take-Two Interactive Software, ",US,239.57000732421875,0.12,13.14,1.23,3878252,3145563,-1.18,5日急騰 +13.1% / 新高値圏,2,2026-06-22 23:17,True
INTC,Intel Corporation,US,140.94000244140625,5.19,13.14,1.12,147816213,132189128,0.0,5日急騰 +13.1% / 新高値圏,2,2026-06-22 23:17,True
AMAT,"Applied Materials, Inc.",US,640.1799926757812,3.74,12.86,1.27,12168614,9552018,0.0,5日急騰 +12.9% / 新高値圏,2,2026-06-22 23:17,True
6723.T,RENESAS ELECTRONICS CORP,JP,5041.0,6.49,12.32,0.87,15476400,17753815,0.0,5日急騰 +12.3% / 新高値圏,2,2026-06-22 23:17,True
LRCX,Lam Research Corporation,US,409.5400085449219,5.27,11.73,1.27,14638806,11503321,0.0,5日急騰 +11.7% / 新高値圏,2,2026-06-22 23:17,True
TXN,Texas Instruments Incorporated,US,332.2799987792969,2.92,10.35,1.15,10580319,9227034,0.0,5日急騰 +10.3% / 新高値圏,2,2026-06-22 23:17,False
TSM,Taiwan Semiconductor Manufactur,US,467.6700134277344,1.2,10.32,1.1,14501517,13170529,0.0,5日急騰 +10.3% / 新高値圏,2,2026-06-22 23:17,True
MRNA,"Moderna, Inc.",US,59.345001220703125,-7.22,18.9,1.79,12848371,7162582,-7.22,5日急騰 +18.9%,1,2026-06-22 23:17,True
6526.T,SOCIONEXT INC,JP,2710.5,3.06,12.75,1.19,12309420,10322075,-10.25,5日急騰 +12.7%,1,2026-06-22 23:17,True
7012.T,KAWASAKI HEAVY INDUSTRIES,JP,3243.0,1.63,11.62,1.0,12148420,12157970,-5.86,5日急騰 +11.6%,1,2026-06-22 23:17,True
MRVL,"Marvell Technology, Inc.",US,307.8599853515625,-0.88,10.07,1.28,92471663,72019525,-2.71,5日急騰 +10.1%,1,2026-06-22 23:17,True
6752.T,PANASONIC HOLDINGS CORP,JP,4393.0,-0.59,9.55,1.03,13826820,13478975,-0.59,新高値圏,1,2026-06-22 23:17,False
6857.T,ADVANTEST CORP,JP,32170.0,1.35,9.35,1.0,8642820,8613050,0.0,新高値圏,1,2026-06-22 23:17,True
6963.T,ROHM CO LTD,JP,5682.0,3.14,8.08,0.9,5317020,5932140,0.0,新高値圏,1,2026-06-22 23:17,True
MCHP,Microchip Technology Incorporat,US,102.70999908447266,2.95,7.84,0.99,11967644,12083566,0.0,新高値圏,1,2026-06-22 23:17,False
AMD,"Advanced Micro Devices, Inc.",US,551.6300048828125,2.65,7.83,0.99,31606611,31843637,0.0,新高値圏,1,2026-06-22 23:17,True
8035.T,TOKYO ELECTRON,JP,77800.0,3.24,6.93,1.05,4891400,4654555,0.0,新高値圏,1,2026-06-22 23:17,True
ADI,"Analog Devices, Inc.",US,445.4800109863281,2.54,6.63,1.1,5725923,5195155,0.0,新高値圏,1,2026-06-22 23:17,False
2413.T,M3 INC,JP,1706.0,4.18,6.49,0.77,4969000,6448840,0.0,新高値圏,1,2026-06-22 23:17,True
KLAC,KLA Corporation,US,269.1600036621094,3.7,5.74,1.28,16515633,12897038,0.0,新高値圏,1,2026-06-22 23:17,True
VRTX,Vertex Pharmaceuticals Incorpor,US,466.7900085449219,3.36,4.91,1.31,1860983,1416670,0.0,新高値圏,1,2026-06-22 23:17,False
6762.T,TDK CORP,JP,4063.0,3.94,4.02,0.82,15078040,18472785,-1.17,新高値圏,1,2026-06-22 23:17,False
6146.T,DISCO CORPORATION,JP,88480.0,4.22,3.79,0.96,1916480,1986330,0.0,新高値圏,1,2026-06-22 23:17,True
8306.T,MITSUBISHI UFJ FINANCIAL GROUP ,JP,3333.0,1.68,2.81,0.92,41972720,45814095,-1.22,新高値圏,1,2026-06-22 23:17,True
8316.T,SUMITOMO MITSUI FINANCIAL GROUP,JP,6645.0,2.51,1.93,0.95,14599060,15378080,-1.23,新高値圏,1,2026-06-22 23:17,True
ABBV,AbbVie Inc.,US,230.00999450683594,6.25,1.0,1.2,6791017,5645514,0.0,新高値圏,1,2026-06-22 23:17,True
UNH,UnitedHealth Group Incorporated,US,406.67999267578125,1.43,0.12,0.99,7019579,7073569,-1.06,新高値圏,1,2026-06-22 23:17,False
EA,Electronic Arts Inc.,US,202.97000122070312,0.41,-0.15,1.22,2638269,2158832,-0.49,新高値圏,1,2026-06-22 23:17,True
