ticker,name,sector,market,price,change_pct,volume,vol_avg_20d,vol_ratio,vol_5d,high_52w,low_52w,pos_52w_pct,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_histogram,bb_upper,bb_lower,bb_position,cross_signal,pe_ratio,peg_ratio,market_cap,revenue_growth_pct,dividend_yield_pct,target_price,upside_pct,fetch_time,price_5y_ago,price_3y_ago,price_1y_ago,change_5y_pct,change_3y_pct,change_1y_pct,high_1y,high_1y_date,low_1y,low_1y_date
NVDA,NVIDIA,半導体/AI,US,177.39,0.93,143143200,178736020,0.8,"196212700,185627000,226181300,168132000,143143200",207.02,94.29,73.7,177.62,182.64,179.8,46.9,-2.9028,-2.9263,0.0235,188.76,166.48,49.0,なし,36.2,,4311464017920.0,73.2,2.0,268.22195,51.2,2026-04-05T22:29:05.391615,13.83,27.01,94.29,1183.0,556.7,88.1,212.17,2025-10-29,86.6,2025-04-07
AMD,AMD,半導体/AI,US,217.5,3.47,38463500,34066280,1.13,"29206600,41053300,42318700,40835800,38463500",264.33,78.21,74.8,202.73,211.64,196.89,64.9,0.6311,-1.1824,1.8135,216.92,188.53,102.1,なし,83.33,,354614378496.0,34.1,,289.6087,33.2,2026-04-05T22:29:06.064865,81.44,92.47,85.76,167.1,135.2,153.6,267.08,2025-10-29,76.48,2025-04-08
AVGO,Broadcom,半導体/AI,US,314.55,0.34,14021100,27467215,0.51,"23593900,28054500,29289500,19171000,14021100",411.32,145.11,63.6,320.21,324.27,326.61,46.1,-5.4638,-4.9909,-0.4729,346.96,293.46,39.4,なし,61.32,,1491367493632.0,29.5,83.0,471.5531,49.9,2026-04-05T22:29:06.792790,43.78,59.83,145.11,618.5,425.7,116.8,412.95,2025-12-10,136.99,2025-04-07
MRVL,Marvell Technology,半導体,US,107.11,0.37,23667100,26045080,0.91,"16507100,21463200,51286100,44072500,23667100",107.11,49.27,100.0,93.16,84.95,81.56,68.6,4.8965,3.5282,1.3683,104.95,81.36,109.1,なし,34.89,,93663223808.0,22.1,22.0,121.25163,13.2,2026-04-05T22:29:07.511361,49.84,38.89,49.27,114.9,175.4,117.4,107.84,2026-04-01,46.93,2025-04-07
LRCX,Lam Research,半導体製造装置,US,218.44,-1.61,6805400,11019495,0.62,"8503300,11921000,11725000,10697600,6805400",249.18,58.66,83.9,219.09,226.55,157.95,52.9,-2.0895,-1.2627,-0.8268,241.2,196.99,48.5,なし,44.85,,274367184896.0,22.1,48.0,274.90323,25.8,2026-04-05T22:29:08.155173,61.86,47.97,58.66,253.1,355.4,272.4,256.37,2026-02-25,55.91,2025-04-07
KLAC,KLA Corporation,半導体検査装置,US,1516.84,-0.2,661500,1031865,0.64,"811500,1001200,1108100,879900,661500",1682.52,572.19,85.1,1466.97,1474.39,1172.48,59.9,8.0563,6.8136,1.2427,1576.98,1356.96,72.7,なし,44.25,,199301152768.0,7.2,50.0,1681.3667,10.8,2026-04-05T22:29:08.894606,328.89,364.5,572.19,361.2,316.1,165.1,1691.15,2026-01-29,547.18,2025-04-07
AMAT,Applied Materials,半導体製造装置,US,348.47,-1.51,4269400,6846480,0.62,"5984800,6568100,8335600,5974800,4269400",394.95,125.82,82.7,347.49,345.71,248.32,52.8,-0.1137,1.4732,-1.5869,373.45,321.54,51.9,なし,35.7,,276549238784.0,-2.1,61.0,418.28125,20.0,2026-04-05T22:29:09.617551,133.72,111.53,125.82,160.6,212.5,176.9,395.95,2026-02-25,122.64,2025-04-07
CDNS,Cadence Design,半導体EDA,US,278.72,-0.52,1511500,2177060,0.69,"2186600,2151600,1883900,1762400,1511500",373.37,231.64,33.2,286.27,292.86,321.77,42.8,-5.3191,-4.6335,-0.6856,302.22,270.33,26.3,なし,68.48,,76952379392.0,6.2,,371.67776,33.4,2026-04-05T22:29:10.107808,143.46,208.52,232.88,94.3,33.7,19.7,376.45,2025-07-31,221.56,2025-04-07
SNPS,Synopsys,半導体EDA,US,395.95,-0.2,1077100,1870430,0.58,"2400900,2006700,1684000,1163600,1077100",645.35,380.47,5.8,415.85,434.36,486.73,42.2,-12.2051,-10.4046,-1.8005,451.67,380.03,22.2,なし,60.64,,75848990720.0,65.5,,537.75,35.8,2026-04-05T22:29:10.666038,257.36,375.92,388.13,53.9,5.3,2.0,651.73,2025-07-30,365.74,2025-04-07
TSM,TSMC,半導体ファウンドリ,US,339.04,-0.72,8994600,14227925,0.63,"14484500,15740000,18488000,15011600,8994600",386.64,139.64,80.7,338.43,347.57,288.94,50.8,-4.2207,-4.2509,0.0303,355.69,321.16,51.8,なし,32.69,,1758432591872.0,20.5,104.0,430.65167,27.0,2026-04-05T22:29:11.203097,112.7,86.33,145.0,200.8,292.7,133.8,389.11,2026-02-25,132.61,2025-04-07
INTC,Intel,半導体,US,50.38,4.89,117134200,90502985,1.29,"70002200,84596000,95294900,129598500,117134200",54.32,18.13,89.1,45.29,46.16,35.29,59.4,0.204,-0.2432,0.4472,49.46,41.13,111.1,なし,50.78,,252958507008.0,-4.1,,47.11098,-6.5,2026-04-05T22:29:11.869481,59.63,32.02,19.85,-15.5,57.3,153.8,54.6,2026-01-22,17.67,2025-04-08
QCOM,Qualcomm,半導体/通信,US,126.8,-0.38,8575300,13283220,0.65,"8964900,11555900,12219800,10210700,8575300",185.53,121.81,7.8,130.58,138.57,156.75,41.0,-3.6106,-3.8896,0.279,136.78,124.39,19.5,なし,25.56,,135428120576.0,5.0,281.0,154.92857,22.2,2026-04-05T22:29:12.583473,123.76,114.87,124.54,2.5,10.4,1.8,203.6,2025-10-27,118.03,2025-04-07
MU,Micron Technology,半導体/メモリ,US,366.24,-0.44,51498700,50877395,1.01,"45806700,73833200,73551800,74429800,51498700",461.54,64.57,76.0,396.55,403.35,242.91,36.8,-13.4984,-6.0382,-7.4602,475.94,317.15,30.9,なし,17.27,,413021306880.0,196.3,16.0,525.475,43.5,2026-04-05T22:29:13.160633,91.18,57.81,64.57,301.7,533.5,467.2,471.14,2026-03-18,61.39,2025-04-07
META,Meta Platforms,テック/広告,US,574.46,-0.82,13518500,17171460,0.79,"30133000,22795200,32898300,23608100,13518500",788.15,483.15,29.9,602.16,639.24,683.97,40.3,-22.9058,-20.6804,-2.2254,678.02,526.3,31.7,なし,24.45,,1453128548352.0,23.8,37.0,860.246,49.7,2026-04-05T22:29:13.871477,303.88,214.42,503.16,89.0,167.9,14.2,794.38,2025-08-15,478.31,2025-04-21
PLTR,Palantir,AI/ソフトウェア,US,148.46,1.34,30437000,43424235,0.7,"35790800,41289800,45558600,34171000,30437000",207.18,74.01,55.9,151.38,146.91,164.16,47.9,-0.6226,0.231,-0.8537,162.12,140.65,36.4,なし,239.45,,355068182528.0,70.0,,185.2474,24.8,2026-04-05T22:29:14.530761,23.27,8.09,74.01,538.0,1735.1,100.6,207.52,2025-11-03,66.12,2025-04-07
