ticker,name,sector,market,price,change_pct,volume,vol_avg_20d,vol_ratio,vol_5d,high_52w,low_52w,pos_52w_pct,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_histogram,bb_upper,bb_lower,bb_position,cross_signal,pe_ratio,peg_ratio,market_cap,revenue_growth_pct,dividend_yield_pct,target_price,upside_pct,fetch_time,price_5y_ago,price_3y_ago,price_1y_ago,change_5y_pct,change_3y_pct,change_1y_pct,high_1y,high_1y_date,low_1y,low_1y_date
NVDA,NVIDIA,半導体/AI,US,198.87,1.2,177529760,165236728,1.07,"116428500,160459500,133648200,161307000,177529760",207.02,94.29,92.8,179.38,182.38,181.31,71.4,3.1354,0.2198,2.9156,196.67,162.1,106.4,なし,40.67,,4833535328256.0,73.2,2.0,268.22195,34.9,2026-04-15T22:39:59.596491,15.87,26.73,112.17,1152.9,643.9,77.3,212.17,2025-10-29,95.02,2025-04-21
AMD,AMD,半導体/AI,US,258.12,1.2,23532806,33761115,0.7,"27126200,36477200,22781800,25733200,23532806",264.33,78.21,96.7,219.13,209.85,201.06,71.9,12.1507,6.8137,5.337,258.79,179.46,99.2,なし,99.28,,420841652224.0,34.1,,289.34784,12.1,2026-04-15T22:39:59.985726,82.15,91.75,95.29,214.2,181.3,170.9,267.08,2025-10-29,83.75,2025-04-21
AVGO,Broadcom,半導体/AI,US,396.72,4.19,29486791,24967354,1.18,"20514900,29958100,24115800,24423000,29486791",411.32,145.11,94.5,331.39,329.44,330.73,80.2,14.8662,5.6798,9.1864,391.4,271.37,104.4,ゴールデンクロス,77.18,,1880958042112.0,29.5,68.0,472.92395,19.2,2026-04-15T22:40:00.405664,43.32,59.54,177.51,815.8,566.3,123.5,412.95,2025-12-10,160.31,2025-04-21
MRVL,Marvell Technology,半導体,US,134.6,0.58,23390304,26091675,0.9,"32718500,41187000,31264700,33600700,23390304",134.6,49.24,100.0,106.0,91.53,83.44,81.4,11.7427,8.5141,3.2286,138.57,73.42,93.9,なし,43.99,,117702082560.0,22.1,18.0,123.40163,-8.3,2026-04-15T22:40:01.070758,46.99,39.89,53.18,186.4,237.4,153.1,138.18,2026-04-15,47.96,2025-04-21
LRCX,Lam Research,半導体製造装置,US,265.16,-2.66,11295834,10320991,1.09,"9757800,9124700,8773600,8500600,11295834",272.41,58.66,96.6,234.43,229.8,164.3,63.2,11.0644,5.5124,5.552,276.94,191.91,86.1,なし,54.34,,333048905728.0,22.1,38.0,279.12903,5.3,2026-04-15T22:40:01.717526,61.03,48.66,67.94,334.5,445.0,290.3,273.5,2026-04-14,60.7,2025-04-21
KLAC,KLA Corporation,半導体検査装置,US,1748.11,-2.66,1158654,939782,1.23,"939500,686400,830100,871300,1158654",1795.91,572.19,96.1,1571.93,1499.03,1205.13,66.3,76.9288,48.6677,28.261,1817.84,1326.02,85.8,なし,50.97,,229688262656.0,7.2,42.0,1688.0333,-3.4,2026-04-15T22:40:02.218230,315.98,364.87,671.12,453.2,379.1,160.5,1798.0,2026-04-14,603.13,2025-04-21
AMAT,Applied Materials,半導体製造装置,US,394.26,-0.35,5911994,6500239,0.91,"5373600,6399900,5246600,5353200,5911994",399.49,125.82,98.1,364.37,354.85,256.65,59.0,12.4673,7.7758,4.6915,411.01,317.72,82.0,なし,40.52,,312888623104.0,-2.1,54.0,421.875,7.0,2026-04-15T22:40:02.938740,128.15,110.02,144.16,207.7,258.4,173.5,407.29,2026-04-10,131.62,2025-04-21
CDNS,Cadence Design,半導体EDA,US,304.1,4.01,2346908,2215665,1.06,"2209800,3492800,2649000,2182500,2346908",373.37,231.64,51.1,282.95,288.76,321.23,62.0,-0.5257,-3.2183,2.6926,300.25,265.64,111.1,なし,74.9,,83959595008.0,6.2,,371.67776,22.2,2026-04-15T22:40:03.391576,147.26,214.55,264.31,106.5,41.7,15.1,376.45,2025-07-31,247.7,2025-04-21
SNPS,Synopsys,半導体EDA,US,438.45,4.69,1793804,1827835,0.98,"1728800,1602300,2525900,1255700,1793804",645.35,380.47,21.9,408.38,421.29,483.84,61.3,-2.734,-7.5992,4.8652,441.11,375.64,95.9,なし,67.14,,83990372352.0,65.5,,535.6781,22.2,2026-04-15T22:40:03.832837,260.77,381.68,425.65,68.1,14.9,3.0,651.73,2025-07-30,376.18,2025-11-18
TSM,TSMC,半導体ファウンドリ,US,375.1,-1.26,14653212,12954240,1.13,"9246000,13168200,9596300,12859500,14653212",386.64,139.64,95.3,346.93,352.25,294.87,62.6,7.3879,2.5548,4.8331,382.89,310.96,89.2,なし,36.03,,1945457917952.0,20.5,92.0,439.54056,17.2,2026-04-15T22:40:04.281720,109.38,83.42,155.41,242.9,349.7,141.4,389.11,2026-02-25,144.06,2025-04-21
INTC,Intel,半導体,US,64.94,1.77,91456270,105133643,0.87,"155609900,98624400,112111000,112796100,91456270",65.18,18.13,99.5,51.1,48.21,36.82,77.3,4.9528,3.0055,1.9474,67.98,34.21,91.0,なし,63.72,,326064439296.0,-4.1,,48.96463,-24.6,2026-04-15T22:40:04.849753,58.89,31.13,19.85,10.3,108.6,227.2,65.84,2026-04-15,18.25,2025-04-21
QCOM,Qualcomm,半導体/通信,US,133.05,0.16,9670865,13067368,0.74,"9352700,8427400,8615000,7608300,9670865",185.53,121.81,17.6,128.84,134.73,155.8,57.1,-1.4596,-2.7031,1.2435,133.51,124.18,95.1,なし,26.88,,142103412736.0,5.0,268.0,154.92857,16.4,2026-04-15T22:40:05.375888,123.89,112.22,135.43,7.4,18.6,-1.8,203.6,2025-10-27,121.99,2026-04-07
MU,Micron Technology,半導体/メモリ,US,456.23,-2.03,40135291,53327894,0.75,"43101000,36377600,37015800,52534900,40135291",465.66,64.57,97.6,398.43,404.03,254.72,66.7,10.3774,0.3388,10.0386,481.35,315.5,84.9,なし,21.53,,514506096640.0,196.3,13.0,533.725,17.0,2026-04-15T22:40:05.993202,88.42,61.83,70.87,416.0,637.9,543.8,471.14,2026-03-18,65.49,2025-04-21
META,Meta Platforms,テック/広告,US,671.58,1.37,14845156,18376382,0.81,"19012900,13294800,9538900,17818000,14845156",788.15,483.15,61.8,596.54,629.44,680.7,66.9,5.8507,-7.3793,13.23,673.02,520.05,99.1,なし,28.55,,1698798895104.0,23.8,32.0,855.6793,27.4,2026-04-15T22:40:06.344670,303.8,219.77,519.9,121.1,205.6,29.2,794.38,2025-08-15,478.31,2025-04-21
PLTR,Palantir,AI/ソフトウェア,US,142.15,4.75,47901983,49585264,0.97,"92361400,116656800,65772800,52786800,47901983",207.18,74.01,51.2,145.33,143.61,164.12,40.5,-3.5865,-2.4881,-1.0984,163.31,127.35,41.2,なし,229.27,,339976683520.0,70.0,,185.2474,30.3,2026-04-15T22:40:06.799355,22.47,8.81,98.4,532.6,1513.5,44.5,207.52,2025-11-03,89.31,2025-04-21
MSFT,Microsoft,テック/クラウド,US,411.22,4.61,43012959,33461872,1.29,"30435300,28111100,35745800,37504500,43012959",539.83,351.87,31.6,376.81,391.71,471.15,75.2,-1.8704,-7.0372,5.1668,402.09,351.54,118.1,なし,25.7,1.25,3056342401024.0,16.7,93.0,585.4065,42.4,2026-04-15T22:40:07.432640,250.2,279.52,382.8,64.4,47.1,7.4,552.24,2025-07-31,352.97,2025-04-21
