ticker,name,sector,market,price,change_pct,volume,vol_avg_20d,vol_ratio,vol_5d,high_52w,low_52w,pos_52w_pct,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_histogram,bb_upper,bb_lower,bb_position,cross_signal,pe_ratio,peg_ratio,market_cap,revenue_growth_pct,dividend_yield_pct,target_price,upside_pct,fetch_time,price_5y_ago,price_3y_ago,price_1y_ago,change_5y_pct,change_3y_pct,change_1y_pct,high_1y,high_1y_date,low_1y,low_1y_date
NVDA,NVIDIA,半導体/AI,US,188.63,2.57,160099500,169634160,0.94,"107564300,132534900,147732700,116428500,160099500",207.02,94.29,83.7,177.42,182.07,180.72,68.2,0.1288,-1.6624,1.7912,188.59,166.25,100.2,なし,38.5,,4584652144640.0,73.2,2.0,268.22195,42.2,2026-04-12T22:32:05.135001,15.64,26.44,110.9,1106.1,613.4,70.1,212.17,2025-10-29,95.02,2025-04-21
AMD,AMD,半導体/AI,US,245.04,3.55,36398600,34186135,1.06,"30786400,26483000,35496400,27126200,36398600",264.33,78.21,89.6,210.44,209.35,199.41,73.7,7.5123,2.9747,4.5377,239.73,181.15,109.1,ゴールデンクロス,93.53,,399515877376.0,34.1,,289.34784,18.1,2026-04-12T22:32:05.436724,80.19,92.09,93.4,205.6,166.1,162.4,267.08,2025-10-29,83.75,2025-04-21
AVGO,Broadcom,半導体/AI,US,371.55,4.69,29929600,26270380,1.14,"12111300,33310900,31573100,20514900,29929600",411.32,145.11,85.1,321.84,326.12,328.94,75.5,6.0343,-0.706,6.7403,358.85,284.84,117.2,なし,72.43,,1761620131840.0,29.5,70.0,472.92395,27.3,2026-04-12T22:32:05.802380,43.88,59.99,180.48,746.8,519.4,105.9,412.95,2025-12-10,160.31,2025-04-21
MRVL,Marvell Technology,半導体,US,128.49,7.19,41136500,23756675,1.73,"22700500,18965200,29455900,32718500,41136500",128.49,49.24,100.0,99.52,88.31,82.61,82.7,8.9046,6.081,2.8237,123.53,75.5,110.3,なし,41.85,,112359145472.0,22.1,19.0,122.87663,-4.4,2026-04-12T22:32:06.230781,47.81,39.99,53.25,168.7,221.3,141.3,129.84,2026-04-10,47.96,2025-04-21
LRCX,Lam Research,半導体製造装置,US,263.66,1.89,9118900,10316365,0.88,"4031200,6818400,11023000,9757800,9118900",263.66,58.66,100.0,227.09,228.07,161.72,64.7,6.0532,1.2079,4.8453,258.95,195.22,107.4,なし,54.03,,331164876800.0,22.1,39.0,279.12903,5.9,2026-04-12T22:32:06.628687,61.15,48.41,66.99,331.2,444.6,293.6,268.23,2026-04-10,60.7,2025-04-21
KLAC,KLA Corporation,半導体検査装置,US,1737.28,0.58,686400,950830,0.72,"411800,527300,1020100,939500,686400",1737.28,572.19,100.0,1523.2,1483.12,1191.92,69.5,53.408,25.8862,27.5218,1712.03,1334.37,106.7,なし,50.5,,228265279488.0,7.2,44.0,1688.0333,-2.8,2026-04-12T22:32:07.011008,326.54,364.24,665.18,432.0,377.0,161.2,1759.96,2026-04-10,603.13,2025-04-21
AMAT,Applied Materials,半導体製造装置,US,399.49,0.42,6397400,6404180,1.0,"2505500,4024800,7628500,5373600,6397400",399.49,125.82,100.0,357.09,350.95,253.45,63.7,9.1801,3.9263,5.2539,396.61,317.58,103.7,なし,40.97,,317039181824.0,-2.1,53.0,421.875,5.6,2026-04-12T22:32:07.490267,129.46,110.57,143.65,208.6,261.3,178.1,407.29,2026-04-10,131.62,2025-04-21
CDNS,Cadence Design,半導体EDA,US,265.66,-5.46,3491800,2091430,1.67,"1173300,1275100,1913600,2209800,3491800",373.37,231.64,24.0,282.39,288.83,321.34,37.9,-4.6449,-4.4228,-0.2221,297.48,267.3,-5.4,なし,65.43,,73346621440.0,6.2,,371.67776,39.9,2026-04-12T22:32:07.785123,146.15,217.01,259.47,81.8,22.4,2.4,376.45,2025-07-31,247.7,2025-04-21
SNPS,Synopsys,半導体EDA,US,392.24,-3.13,1601600,1739940,0.92,"1142400,920600,1617600,1728800,1601600",645.35,380.47,4.4,408.01,423.85,484.89,37.6,-9.3413,-10.1472,0.8059,439.63,376.4,25.0,なし,60.25,,75138285568.0,65.5,,537.75,37.1,2026-04-12T22:32:08.128638,261.93,381.56,421.21,49.7,2.8,-6.9,651.73,2025-07-30,376.18,2025-11-18
TSM,TSMC,半導体ファウンドリ,US,370.6,1.4,13141100,13090335,1.0,"5884800,6823500,16356900,9246000,13141100",386.64,139.64,93.5,341.83,349.93,292.59,68.7,3.3502,-1.0718,4.4219,368.52,315.14,103.9,なし,35.46,,1922118713344.0,20.5,95.0,432.31833,16.7,2026-04-12T22:32:08.526310,111.62,83.28,155.16,232.0,345.0,138.9,389.11,2026-02-25,144.06,2025-04-21
INTC,Intel,半導体,US,62.38,1.07,98439700,102888600,0.96,"79978800,129543800,184599900,155609900,98439700",62.38,18.13,100.0,48.18,47.21,36.19,80.4,3.4541,1.4552,1.9989,60.65,35.71,106.9,なし,61.35,,313210634240.0,-4.1,,47.23293,-24.3,2026-04-12T22:32:08.948194,59.32,31.36,19.74,5.2,98.9,216.0,63.39,2026-04-10,18.25,2025-04-21
QCOM,Qualcomm,半導体/通信,US,128.06,0.24,8424700,13195720,0.64,"8038600,8840400,12535800,9352700,8424700",185.53,121.81,9.8,128.53,135.86,156.14,44.8,-2.9483,-3.4944,0.5461,132.39,124.67,44.0,なし,25.82,,136773853184.0,5.0,278.0,154.92857,21.0,2026-04-12T22:32:09.306212,123.08,113.12,136.06,4.0,13.2,-5.9,203.6,2025-10-27,121.99,2026-04-07
MU,Micron Technology,半導体/メモリ,US,420.59,-0.22,36285700,53106325,0.68,"41414900,40224100,49216600,43101000,36285700",461.54,64.57,89.7,397.46,402.81,249.86,49.5,-1.1009,-6.0256,4.9246,477.71,317.21,64.4,なし,19.84,,474313654272.0,196.3,14.0,526.475,25.2,2026-04-12T22:32:09.694041,89.87,62.2,69.38,368.0,576.2,506.2,471.14,2026-03-18,65.49,2025-04-21
