ticker,name,market,price,change_1d_pct,change_5d_pct,vol_ratio,vol_avg_5d,vol_avg_20d,near_high_pct,alerts,alert_count,scan_time,in_watchlist
MRVL,"Marvell Technology, Inc.",US,288.8500061035156,9.63,31.64,2.04,98365898,48116939,-8.72,出来高急増 x2.0 / 5日急騰 +31.6% / 単日急騰 +9.6%,3,2026-06-08 23:11,True
KLAC,KLA Corporation,US,2108.06005859375,9.27,8.66,1.17,1185947,1013781,-1.08,単日急騰 +9.3% / 新高値圏,2,2026-06-08 23:11,True
AMAT,"Applied Materials, Inc.",US,492.1700134277344,8.64,7.42,1.13,9550683,8450675,-1.9,単日急騰 +8.6% / 新高値圏,2,2026-06-08 23:11,True
UNH,UnitedHealth Group Incorporated,US,406.57000732421875,1.78,7.03,1.12,8099116,7203814,0.0,新高値圏,1,2026-06-08 23:11,False
LLY,Eli Lilly and Company,US,1149.1500244140625,1.57,6.19,1.09,3545594,3239363,0.0,新高値圏,1,2026-06-08 23:11,True
8411.T,MIZUHO FINANCIAL GROUP,JP,7562.0,-2.0,5.25,0.9,10729640,11917100,-2.0,新高値圏,1,2026-06-08 23:11,True
8306.T,MITSUBISHI UFJ FINANCIAL GROUP ,JP,3168.0,-1.58,4.8,1.03,45659860,44388405,-1.58,新高値圏,1,2026-06-08 23:11,True
ABBV,AbbVie Inc.,US,223.07000732421875,-1.83,4.76,1.06,5887244,5558021,-1.83,新高値圏,1,2026-06-08 23:11,True
DXCM,"DexCom, Inc.",US,76.62000274658203,5.16,2.34,0.74,5319224,7225676,0.0,新高値圏,1,2026-06-08 23:11,True
INTC,Intel Corporation,US,110.2699966430664,11.19,0.86,0.91,116685303,128793455,-14.81,単日急騰 +11.2%,1,2026-06-08 23:11,True
EA,Electronic Arts Inc.,US,203.1999969482422,0.1,0.59,1.0,2008057,2000374,-0.38,新高値圏,1,2026-06-08 23:11,True
6098.T,RECRUIT HOLDINGS CO LTD,JP,10755.0,1.51,-1.33,0.61,4592640,7536085,-1.51,新高値圏,1,2026-06-08 23:11,True
MU,"Micron Technology, Inc.",US,949.280029296875,9.87,-8.33,0.98,54619481,55903900,-12.07,単日急騰 +9.9%,1,2026-06-08 23:11,True
IONQ,"IonQ, Inc.",US,62.79999923706055,10.6,-9.35,0.92,31814166,34531616,-12.86,単日急騰 +10.6%,1,2026-06-08 23:11,True
