ticker,name,market,price,change_1d_pct,change_5d_pct,vol_ratio,vol_avg_5d,vol_avg_20d,near_high_pct,alerts,alert_count,scan_time,in_watchlist
KLAC,KLA Corporation,US,301.7099914550781,8.38,23.4,1.05,15772781,15027035,0.0,5日急騰 +23.4% / 単日急騰 +8.4% / 新高値圏,3,2026-06-30 23:09,True
AMD,"Advanced Micro Devices, Inc.",US,580.9099731445312,7.68,11.75,1.04,33214480,31875225,0.0,5日急騰 +11.7% / 単日急騰 +7.7% / 新高値圏,3,2026-06-30 23:09,True
AMAT,"Applied Materials, Inc.",US,723.0,4.08,23.4,1.36,16944469,12463592,0.0,5日急騰 +23.4% / 新高値圏,2,2026-06-30 23:09,True
LRCX,Lam Research Corporation,US,433.3299865722656,5.46,16.7,1.17,15891486,13618516,0.0,5日急騰 +16.7% / 新高値圏,2,2026-06-30 23:10,True
MRNA,"Moderna, Inc.",US,70.02999877929688,0.47,14.8,1.16,9943454,8540053,0.0,5日急騰 +14.8% / 新高値圏,2,2026-06-30 23:09,True
AFRM,"Affirm Holdings, Inc.",US,81.55000305175781,-0.29,13.53,1.12,5218611,4651827,-0.29,5日急騰 +13.5% / 新高値圏,2,2026-06-30 23:09,True
7735.T,SCREEN HOLDINGS CO LTD,JP,17805.0,6.2,10.25,1.05,3400000,3238980,0.0,5日急騰 +10.2% / 新高値圏,2,2026-06-30 23:10,False
LCID,"Lucid Group, Inc.",US,6.690000057220459,2.76,28.9,1.24,19688971,15884152,-32.83,5日急騰 +28.9%,1,2026-06-30 23:10,True
DDOG,"Datadog, Inc.",US,260.3599853515625,4.74,18.04,0.91,5063081,5551425,-6.17,5日急騰 +18.0%,1,2026-06-30 23:10,True
RIVN,"Rivian Automotive, Inc.",US,17.350000381469727,3.21,16.52,1.02,32348416,31772129,-5.04,5日急騰 +16.5%,1,2026-06-30 23:09,True
RBLX,Roblox Corporation,US,54.380001068115234,0.07,15.43,0.92,10988328,11945872,-12.05,5日急騰 +15.4%,1,2026-06-30 23:09,True
6753.T,SHARP CORP,JP,651.2999877929688,2.86,12.68,1.83,8983040,4911905,-3.02,5日急騰 +12.7%,1,2026-06-30 23:10,False
SNOW,Snowflake Inc.,US,254.5,1.13,10.46,1.21,9564865,7896126,-9.16,5日急騰 +10.5%,1,2026-06-30 23:09,True
TSLA,"Tesla, Inc.",US,420.6000061035156,2.13,10.22,0.92,44011534,47786798,-5.54,5日急騰 +10.2%,1,2026-06-30 23:10,True
TSM,Taiwan Semiconductor Manufactur,US,477.57000732421875,4.94,9.44,0.99,14100191,14210812,0.0,新高値圏,1,2026-06-30 23:09,True
ABBV,AbbVie Inc.,US,251.63999938964844,-1.05,7.19,1.93,16871470,8732477,-1.05,新高値圏,1,2026-06-30 23:09,True
MRVL,"Marvell Technology, Inc.",US,297.8900146484375,7.25,6.76,0.51,36593978,71809674,-5.86,単日急騰 +7.3%,1,2026-06-30 23:10,True
JNJ,Johnson & Johnson,US,253.97000122070312,-1.76,6.23,1.08,9544007,8831881,-1.76,新高値圏,1,2026-06-30 23:09,False
2413.T,M3 INC,JP,1815.0,-0.82,6.14,0.84,3987420,4736195,-0.82,新高値圏,1,2026-06-30 23:10,True
VRTX,Vertex Pharmaceuticals Incorpor,US,496.7300109863281,-0.58,6.04,1.66,3081366,1850841,-0.58,新高値圏,1,2026-06-30 23:09,False
7267.T,HONDA MOTOR CO,JP,1480.0,0.27,5.9,0.96,19374080,20214475,-1.63,新高値圏,1,2026-06-30 23:10,True
8035.T,TOKYO ELECTRON,JP,77150.0,3.28,5.74,0.94,4836260,5158080,-0.84,新高値圏,1,2026-06-30 23:10,True
2801.T,KIKKOMAN CORP,JP,1668.0,1.09,5.6,0.85,4079740,4812265,0.0,新高値圏,1,2026-06-30 23:10,True
INTC,Intel Corporation,US,139.6300048828125,6.01,5.56,0.84,109657103,131090240,-0.93,新高値圏,1,2026-06-30 23:09,True
V,Visa Inc.,US,343.0899963378906,0.42,4.45,1.15,10224321,8876220,0.0,新高値圏,1,2026-06-30 23:09,True
AMGN,Amgen Inc.,US,362.1199951171875,0.44,4.35,0.82,2608571,3195882,0.0,新高値圏,1,2026-06-30 23:10,False
7269.T,SUZUKI MOTOR CORP,JP,1955.5,-0.81,3.85,1.25,9455960,7538750,-0.91,新高値圏,1,2026-06-30 23:10,True
9433.T,KDDI CORPORATION,JP,2745.0,1.03,3.04,1.19,10919540,9158820,-1.26,新高値圏,1,2026-06-30 23:10,True
TTWO,"Take-Two Interactive Software, ",US,249.97999572753906,1.15,3.03,1.33,4067238,3065684,0.0,新高値圏,1,2026-06-30 23:10,True
6098.T,RECRUIT HOLDINGS CO LTD,JP,11330.0,0.31,1.93,0.88,3711920,4200795,-0.44,新高値圏,1,2026-06-30 23:10,True
NVO,Novo Nordisk A/S,US,47.939998626708984,-0.83,1.1,0.95,12817924,13520546,-0.83,新高値圏,1,2026-06-30 23:09,True
9983.T,FAST RETAILING CO LTD,JP,82810.0,-1.86,0.78,1.02,989740,967555,-1.86,新高値圏,1,2026-06-30 23:10,True
EA,Electronic Arts Inc.,US,205.0399932861328,-0.0,0.75,1.04,2207819,2121049,-0.1,新高値圏,1,2026-06-30 23:09,True
