ticker,name,sector,market,price,change_pct,volume,vol_avg_20d,vol_ratio,vol_5d,high_52w,low_52w,pos_52w_pct,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_histogram,bb_upper,bb_lower,bb_position,cross_signal,pe_ratio,peg_ratio,market_cap,revenue_growth_pct,dividend_yield_pct,target_price,upside_pct,fetch_time,price_5y_ago,price_3y_ago,price_1y_ago,change_5y_pct,change_3y_pct,change_1y_pct,high_1y,high_1y_date,low_1y,low_1y_date
NVDA,NVIDIA,半導体/AI,US,216.61,4.0,184868860,150473638,1.23,"107945300,107501000,113561800,213780100,184868860",216.61,94.29,100.0,190.84,185.62,183.09,88.8,7.569,5.1762,2.3928,217.85,163.83,97.7,なし,44.3,0.74,5264706109440.0,73.2,2.0,268.6148,24.0,2026-04-27T22:50:33.188156,15.24,27.72,110.98,1321.5,681.3,95.2,216.82,2026-04-27,104.06,2025-04-30
AMD,AMD,半導体/AI,US,334.63,-3.79,50368260,39643883,1.27,"38950900,49054200,45619700,81429300,50368260",347.81,78.21,95.1,257.49,224.15,207.55,88.6,29.789,20.88,8.909,343.32,171.65,94.9,なし,128.21,1.03,545584414720.0,34.1,,295.76086,-11.6,2026-04-27T22:50:33.626716,84.02,89.37,96.65,298.3,274.4,246.2,352.99,2026-04-24,91.87,2025-04-30
AVGO,Broadcom,半導体/AI,US,418.2,-1.08,17397609,22590785,0.77,"16275500,23702500,19501600,22459400,17397609",422.76,145.11,98.4,370.2,342.76,336.32,87.4,25.2985,20.4632,4.8354,457.43,282.98,77.5,なし,81.68,0.92,1980038381568.0,29.5,62.0,475.49295,13.7,2026-04-27T22:50:34.090880,41.55,60.21,190.76,906.6,594.6,119.2,429.31,2026-04-23,182.54,2025-04-30
MRVL,Marvell Technology,半導体,US,158.21,-3.71,29254191,31346979,0.93,"31901100,30765800,36938700,37528300,29254191",165.56,49.24,93.7,129.97,103.33,86.58,87.0,17.4395,14.7436,2.6958,175.65,84.28,80.9,なし,51.53,1.93,138348036096.0,22.1,15.0,128.36064,-18.9,2026-04-27T22:50:34.504824,45.9,39.09,58.76,244.7,304.8,169.2,170.84,2026-04-24,53.63,2025-05-07
LRCX,Lam Research,半導体製造装置,US,259.47,-3.1,7797512,9139060,0.85,"7830300,9803300,12269100,12293800,7797512",272.41,58.66,93.9,248.71,235.74,170.88,66.4,9.9766,9.9367,0.0399,294.13,203.3,61.8,なし,48.96,1.59,324485677056.0,23.8,39.0,305.96774,17.9,2026-04-27T22:50:34.873390,60.49,50.91,70.9,328.9,409.6,266.0,275.84,2026-04-24,68.03,2025-04-30
KLAC,KLA Corporation,半導体検査装置,US,1900.0,-1.81,1118875,841623,1.33,"676100,684000,928500,1143100,1118875",1935.0,572.19,97.4,1700.49,1566.15,1241.59,80.1,97.7607,82.6835,15.0772,2003.17,1397.8,83.0,なし,55.17,2.15,249645432832.0,7.2,39.0,1709.2759,-10.0,2026-04-27T22:50:35.314188,308.24,376.06,689.38,516.4,405.2,175.6,1939.36,2026-04-24,669.13,2025-04-30
AMAT,Applied Materials,半導体製造装置,US,404.86,-2.92,5657233,5470141,1.03,"5414900,5268100,4420800,6158300,5657233",417.04,125.82,95.8,382.24,367.54,265.07,74.1,14.1161,12.5092,1.6069,434.45,330.03,71.7,なし,41.48,1.99,321300889600.0,-2.1,51.0,422.96875,4.5,2026-04-27T22:50:35.691199,130.03,110.14,150.21,211.4,267.6,169.5,420.5,2026-04-24,143.43,2025-04-30
CDNS,Cadence Design,半導体EDA,US,336.54,1.1,3462695,2306634,1.5,"3475100,2206000,2318000,3312700,3462695",373.37,231.64,74.0,298.25,294.88,321.4,70.5,11.393,6.4101,4.983,343.29,253.22,92.5,なし,82.89,,92916023296.0,6.2,,371.52963,10.4,2026-04-27T22:50:36.018892,133.27,209.45,289.63,152.5,60.7,16.2,376.45,2025-07-31,262.75,2026-02-03
SNPS,Synopsys,半導体EDA,US,498.54,-0.46,2218774,1712638,1.3,"1833000,1460700,1864100,2890700,2218774",645.35,380.47,44.6,430.12,428.07,481.05,77.7,18.0233,8.6024,9.421,504.16,356.08,96.2,ゴールデンクロス,76.58,3.3,95501336576.0,65.5,,534.6481,7.2,2026-04-27T22:50:36.397331,251.37,371.32,446.62,98.3,34.3,11.6,651.73,2025-07-30,376.18,2025-11-18
TSM,TSMC,半導体ファウンドリ,US,404.98,0.63,16467526,13999021,1.18,"9808200,16317200,12224900,21574200,16467526",404.98,139.64,100.0,364.72,357.31,300.98,76.2,12.6136,8.4706,4.143,409.38,320.05,95.1,なし,34.7,1.3,2100388429824.0,35.1,87.0,463.4514,14.4,2026-04-27T22:50:36.774102,110.14,80.65,163.08,267.7,402.2,148.3,414.5,2026-04-27,158.54,2025-04-28
