ticker,name,sector,market,price,change_pct,volume,vol_avg_20d,vol_ratio,vol_5d,high_52w,low_52w,pos_52w_pct,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_histogram,bb_upper,bb_lower,bb_position,cross_signal,pe_ratio,peg_ratio,market_cap,revenue_growth_pct,dividend_yield_pct,target_price,upside_pct,fetch_time,price_5y_ago,price_3y_ago,price_1y_ago,change_5y_pct,change_3y_pct,change_1y_pct,high_1y,high_1y_date,low_1y,low_1y_date
NVDA,NVIDIA,半導体/AI,US,210.69,2.95,238264530,175532596,1.36,"112001800,149936700,125694100,128363500,238264530",235.47,131.11,76.3,211.68,209.12,189.68,49.9,-1.0009,-0.0557,-0.9452,224.35,199.01,46.1,なし,32.26,0.64,5103122644992.0,85.2,,298.9322,41.9,2026-06-18T23:43:43.127906,,42.61,145.29,,394.5,45.0,236.26,2026-05-14,141.84,2025-06-23
AMD,AMD,半導体/AI,US,537.37,4.86,42879327,31897521,1.34,"31553100,33482400,28411700,27085300,42879327",547.26,110.31,97.7,501.86,411.05,261.15,53.1,29.2566,32.3989,-3.1423,558.53,445.18,81.3,なし,179.72,1.22,876235849728.0,37.8,,487.89584,-9.2,2026-06-18T23:43:43.412358,,120.08,126.79,,347.5,323.8,558.37,2026-06-15,126.82,2025-06-23
AVGO,Broadcom,半導体/AI,US,411.35,4.7,39986213,35049085,1.14,"27600900,32394200,31573700,40005500,39986213",481.57,226.77,72.4,413.74,411.67,359.16,42.8,-6.2937,-3.1174,-3.1763,478.17,349.3,48.1,なし,68.22,0.68,1957030658048.0,47.9,69.0,522.06226,26.9,2026-06-18T23:43:43.764470,,83.42,249.24,,393.1,65.0,495.0,2026-06-03,242.78,2025-06-20
MRVL,Marvell Technology,半導体,US,310.58,7.27,250206305,70725840,3.54,"42047300,54963600,59201300,50607300,250206305",316.43,59.95,97.7,257.6,197.94,113.0,65.2,30.8894,30.2546,0.6348,345.49,169.71,80.1,なし,107.1,1.57,271929278464.0,27.6,9.0,235.6968,-24.1,2026-06-18T23:43:44.136534,,60.51,74.75,,413.3,315.5,329.88,2026-06-18,61.32,2025-09-04
LRCX,Lam Research,半導体製造装置,US,389.04,3.97,20830001,11164015,1.87,"9253300,13459800,12054900,10900800,20830001",389.04,80.15,100.0,337.02,297.96,209.7,67.4,24.2329,19.9863,4.2465,393.07,280.96,96.4,なし,73.68,2.14,486522159104.0,23.8,28.0,325.5625,-16.3,2026-06-18T23:43:44.493896,,59.64,91.73,,552.3,324.1,401.0,2026-06-18,87.27,2025-06-20
KLAC,KLA Corporation,半導体検査装置,US,259.56,8.73,23001390,12609964,1.82,"10056600,18368200,14048600,13213500,23001390",259.56,75.2,100.0,214.9,193.6,144.12,73.0,17.6068,13.7098,3.897,263.65,166.14,95.8,なし,73.32,2.45,339056787456.0,11.5,39.0,194.1,-25.2,2026-06-18T23:43:44.786418,,45.32,86.56,,472.7,199.9,267.17,2026-06-15,82.87,2025-09-03
AMAT,Applied Materials,半導体製造装置,US,617.11,4.08,16748604,9312240,1.8,"8055800,11664400,10906100,11045500,16748604",617.11,155.56,100.0,501.92,445.37,317.19,77.5,44.5971,33.6342,10.9629,619.2,384.64,99.1,なし,58.05,1.89,489960275968.0,11.4,,517.2778,-16.2,2026-06-18T23:43:45.081987,,135.56,171.58,,355.2,259.7,638.9,2026-06-18,153.78,2025-09-03
CDNS,Cadence Design,半導体EDA,US,387.39,-0.57,7074255,2694592,2.63,"1366100,1846500,1650700,2381900,7074255",416.39,265.66,80.8,388.07,353.71,326.32,54.5,9.8803,12.7396,-2.8593,418.52,357.62,48.9,なし,89.88,3.68,106848362496.0,18.7,,385.365,-0.5,2026-06-18T23:43:45.376311,,235.84,296.84,,64.3,30.5,416.69,2026-06-02,262.75,2026-02-03
SNPS,Synopsys,半導体EDA,US,455.51,-1.35,2883072,2182093,1.32,"1289500,2359700,1734700,1924900,2883072",645.35,380.47,28.3,481.65,479.26,459.47,42.3,-9.5223,-5.4531,-4.0692,535.58,427.71,25.8,なし,104.71,2.84,87220748288.0,41.9,,560.37885,23.0,2026-06-18T23:43:45.670299,,441.19,473.62,,3.2,-3.8,651.73,2025-07-30,376.18,2025-11-18
TSM,TSMC,半導体ファウンドリ,US,462.12,6.94,16178928,12454116,1.3,"10362500,11184900,10943500,10934100,16178928",462.12,188.97,100.0,426.26,404.79,333.51,61.5,10.2797,9.2072,1.0725,455.84,396.68,110.6,なし,39.74,1.33,2396773416960.0,35.1,,473.39584,2.4,2026-06-18T23:43:46.025806,,100.22,211.16,,361.1,118.8,465.2,2026-06-18,203.94,2025-06-23
INTC,Intel,半導体,US,133.99,10.64,211357342,130065317,1.63,"151169400,134507500,132962600,115324900,211357342",133.99,19.31,100.0,116.34,101.43,55.51,61.0,5.9123,5.2306,0.6818,132.89,99.8,103.3,なし,86.7,1.36,673433780224.0,7.2,,93.97073,-29.9,2026-06-18T23:43:46.376101,,35.64,21.49,,275.9,523.5,135.48,2026-06-18,18.97,2025-08-01
QCOM,Qualcomm,半導体/通信,US,226.11,6.17,42191620,22432866,1.88,"14123700,13993800,19629600,11955800,42191620",250.1,123.61,81.0,225.08,190.9,165.31,42.3,4.897,7.8906,-2.9935,259.25,190.91,51.5,なし,24.34,0.91,238319943680.0,-3.5,172.0,182.74194,-19.2,2026-06-18T23:43:46.668802,,114.94,150.46,,96.7,50.3,258.96,2026-05-29,121.54,2026-04-07
MU,Micron Technology,半導体/メモリ,US,1133.99,8.7,61492016,54285595,1.13,"40785200,44994600,45499800,46149200,61492016",1133.99,93.15,100.0,965.58,732.8,400.62,59.3,92.5951,91.8524,0.7426,1167.92,763.23,91.6,なし,53.41,0.32,1278839095296.0,196.3,,879.1,-22.5,2026-06-18T23:43:46.939208,,66.8,121.53,,1597.7,833.1,1149.43,2026-06-18,103.23,2025-08-01
META,Meta Platforms,テック/広告,US,577.22,1.7,26843593,19046044,1.41,"14326400,17653300,11344400,20478300,26843593",787.42,525.23,19.8,599.03,621.37,653.7,36.4,-11.3217,-9.7929,-1.5288,645.16,552.9,26.4,なし,21.0,0.87,1465228591104.0,33.1,35.0,827.3183,43.3,2026-06-18T23:43:47.238867,,278.55,693.5,,107.2,-16.8,793.65,2025-08-15,519.78,2026-03-27
PLTR,Palantir,AI/ソフトウェア,US,128.47,-1.65,50135588,39842549,1.26,"35378000,41748200,30409900,32290800,50135588",207.18,119.91,9.8,138.02,138.43,159.91,23.7,-2.7283,-1.6582,-1.0701,156.27,119.77,23.8,なし,144.35,1.91,307982663680.0,84.7,,182.75407,42.3,2026-06-18T23:43:47.523593,,16.3,139.96,,688.2,-8.2,207.52,2025-11-03,122.68,2026-04-10
MSFT,Microsoft,テック/クラウド,US,379.4,0.13,58466440,38883497,1.5,"34865800,32266400,31506800,41987800,58466440",538.66,356.0,12.8,413.15,412.44,449.56,18.6,-8.4106,-3.3549,-5.0557,457.51,368.79,12.0,なし,22.61,1.22,2818348154880.0,18.3,92.0,561.38763,48.0,2026-06-18T23:43:47.815614,,334.42,476.43,,13.5,-20.4,551.05,2025-07-31,355.51,2026-03-30
AAPL,Apple,テック/消費者,US,298.01,0.7,76701676,52246718,1.47,"38742100,45732600,39874400,42745100,76701676",315.2,194.5,85.8,303.4,288.63,267.79,39.1,1.2074,3.251,-2.0437,319.37,287.43,33.1,なし,36.08,2.42,4376979046400.0,16.6,36.0,312.71628,4.9,2026-06-18T23:43:48.156966,,182.36,195.8,,63.4,52.2,317.4,2026-06-08,196.08,2025-06-20
AMZN,Amazon,テック/EC/クラウド,US,244.39,2.9,66532506,43663690,1.52,"51186600,41711600,35187400,44780800,66532506",274.99,198.79,59.8,253.28,257.1,232.8,31.1,-4.8928,-3.478,-1.4148,278.11,228.45,32.1,なし,31.45,1.83,2628929978368.0,16.6,,312.98715,28.1,2026-06-18T23:43:48.607840,,125.49,212.52,,94.7,15.0,278.56,2026-05-05,196.0,2026-02-17
GOOGL,Alphabet,テック/広告/AI,US,368.03,1.17,44359380,32626984,1.36,"24704600,27727500,24876100,24543600,44359380",402.38,163.3,85.6,371.5,367.19,310.73,42.7,-1.7869,-0.6854,-1.1015,394.1,348.91,42.3,なし,28.09,1.47,4490912595968.0,21.8,24.0,432.83453,17.6,2026-06-18T23:43:48.914446,,122.44,172.83,,200.6,112.9,408.37,2026-05-18,161.54,2025-06-23
TSLA,Tesla,EV/AI/エネルギー,US,400.49,1.04,54706416,46768350,1.17,"63514500,45620500,40255500,43534300,54706416",489.88,284.7,56.4,413.7,402.49,416.96,38.6,-2.8497,-0.5046,-2.3451,447.67,379.72,30.6,なし,367.42,5.78,1504129843200.0,15.8,,420.54633,5.0,2026-06-18T23:43:49.273193,,260.54,322.05,,53.7,24.4,498.83,2025-12-22,288.77,2025-07-07
CRM,Salesforce,クラウド/SaaS,US,151.78,-2.09,20601221,16831276,1.22,"13589400,13541800,16385300,19986200,20601221",288.25,151.78,0.0,177.16,177.69,215.23,24.4,-6.2523,-2.7632,-3.4891,206.0,148.33,6.0,デッドクロス,17.57,0.77,124307816448.0,13.3,109.0,253.95132,67.3,2026-06-18T23:43:49.624342,,208.16,257.32,,-27.1,-41.0,274.48,2025-07-08,149.8,2026-06-18
NOW,ServiceNow,クラウド/SaaS,US,95.04,-0.46,24962780,32055424,0.78,"26049400,23018000,17198400,32165600,24962780",208.94,83.0,9.6,108.93,99.24,136.78,26.6,-0.6606,2.0127,-2.6733,131.17,86.69,18.8,なし,56.57,0.98,98015518720.0,22.1,,141.9766,49.4,2026-06-18T23:43:49.892668,,113.1,196.42,,-16.0,-51.6,211.48,2025-07-03,81.24,2026-04-10
SNOW,Snowflake,クラウド/データ,US,232.29,-0.95,6007224,10902346,0.55,"7707300,5917500,5665800,6155500,6007224",280.16,121.11,69.9,229.47,179.81,205.7,38.4,16.74,20.0908,-3.3508,291.85,167.1,52.3,なし,86.54,6.16,80511713280.0,33.5,,291.70084,25.6,2026-06-18T23:43:50.161826,,184.18,212.08,,26.1,9.5,284.99,2026-06-01,118.3,2026-04-10
DDOG,Datadog,クラウド/監視,US,223.0,-1.6,8447058,6096102,1.39,"5754100,5812800,4190700,3539100,8447058",277.49,102.61,68.8,234.88,186.06,151.44,38.4,10.0707,15.3102,-5.2395,266.21,203.56,31.0,なし,571.79,1.44,79379120128.0,32.2,,239.15984,7.2,2026-06-18T23:43:50.479491,,95.75,130.04,,132.9,71.5,278.7,2026-06-01,98.01,2026-02-24
NET,Cloudflare,クラウド/セキュリティ,US,224.06,-1.24,4390303,4016985,1.09,"2262000,3359300,2690600,2658700,4390303",272.66,152.8,59.5,236.51,217.76,207.48,42.5,2.7981,6.107,-3.3089,276.39,196.63,34.4,なし,142.37,2.38,79527755776.0,33.5,,243.1129,8.5,2026-06-18T23:43:50.794865,,67.63,181.4,,231.3,23.5,276.82,2026-06-04,158.83,2026-02-23
CRWD,CrowdStrike,サイバーセキュリティ,US,684.86,0.28,5306765,3610988,1.47,"2310900,2546000,2144000,2098300,5306765",782.17,350.25,77.5,689.27,565.55,489.41,41.5,29.9319,39.8656,-9.9337,770.2,608.35,47.3,なし,109.58,5.53,174341259264.0,25.6,,712.371,4.0,2026-06-18T23:43:51.133274,,155.14,485.16,,341.4,41.2,785.66,2026-06-01,342.72,2026-02-23
ZS,Zscaler,サイバーセキュリティ,US,124.85,0.38,16564471,7990478,2.07,"4752000,3498100,3815800,3125900,16564471",336.27,118.05,3.1,138.84,140.74,211.58,37.8,-6.5362,-5.1567,-1.3795,177.19,100.49,31.8,デッドクロス,27.16,1.39,20189433856.0,25.4,,193.05222,54.6,2026-06-18T23:43:51.467774,,154.01,305.41,,-18.9,-59.1,336.99,2025-11-03,114.62,2026-04-10
