ticker,name,sector,market,price,change_pct,volume,vol_avg_20d,vol_ratio,vol_5d,high_52w,low_52w,pos_52w_pct,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_histogram,bb_upper,bb_lower,bb_position,cross_signal,pe_ratio,peg_ratio,market_cap,revenue_growth_pct,dividend_yield_pct,target_price,upside_pct,fetch_time,price_5y_ago,price_3y_ago,price_1y_ago,change_5y_pct,change_3y_pct,change_1y_pct,high_1y,high_1y_date,low_1y,low_1y_date
NVDA,NVIDIA,半導体/AI,US,210.96,4.03,148124000,146818825,1.01,"108999000,124154600,147419100,132037400,148124000",235.47,141.52,73.9,201.95,209.07,191.47,50.3,-1.7027,-2.9369,1.2343,214.11,189.79,87.1,なし,32.26,0.63,5109662089216.0,85.2,49.0,301.6207,43.0,2026-07-11T22:44:36.284648,20.44,43.82,164.7,932.0,381.5,28.1,236.26,2026-05-14,161.8,2025-07-14
AMD,AMD,半導体/AI,US,557.89,2.04,20654300,30303465,0.68,"30684200,29166800,23768500,26900800,20654300",580.91,116.16,95.0,530.95,481.9,287.66,53.4,18.4986,21.5042,-3.0056,574.04,487.86,81.3,なし,185.35,1.24,909695778816.0,37.8,,516.125,-7.5,2026-07-11T22:44:36.565711,90.81,114.58,146.42,514.3,386.9,281.0,584.73,2026-06-30,141.9,2025-07-14
AVGO,Broadcom,半導体/AI,US,399.97,-0.28,14582400,29285075,0.5,"24544000,24116700,31624100,28074000,14582400",480.81,241.93,66.2,382.58,405.98,361.25,45.8,-4.6329,-8.1345,3.5016,408.36,356.8,83.7,なし,66.66,0.44,1902889402368.0,47.9,65.0,523.72894,30.9,2026-07-11T22:44:36.835948,44.22,85.84,272.38,804.5,365.9,46.8,494.22,2026-06-03,267.62,2025-07-14
MRVL,Marvell Technology,半導体,US,235.81,-3.04,15063200,49637995,0.3,"25703100,36163800,25541800,21245300,15063200",316.35,62.18,68.3,272.11,231.41,126.68,29.2,-0.3228,8.8072,-9.13,322.77,221.44,14.2,なし,81.31,1.31,211649953792.0,27.6,10.0,252.25777,7.0,2026-07-11T22:44:37.164832,56.28,62.3,72.56,319.0,278.5,225.0,329.8,2026-06-18,61.31,2025-09-04
LRCX,Lam Research,半導体製造装置,US,350.33,-0.8,6886600,14367715,0.48,"13581700,15530600,8029400,12119700,6886600",433.33,85.66,76.1,374.31,329.14,227.93,43.6,5.0126,13.4948,-8.4822,428.48,320.14,27.9,なし,66.22,1.92,438112518144.0,23.8,30.0,357.7742,2.1,2026-07-11T22:44:37.479913,59.37,60.61,101.17,490.1,478.0,246.3,438.5,2026-06-30,90.44,2025-07-31
KLAC,KLA Corporation,半導体検査装置,US,231.52,0.87,7443800,16031590,0.46,"12130800,17710900,13082600,13066400,7443800",301.71,80.28,68.3,248.16,212.84,154.8,43.6,4.8546,10.9955,-6.1409,289.1,207.21,29.7,なし,65.4,2.29,302428848128.0,11.5,40.0,225.7857,-2.5,2026-07-11T22:44:37.811771,29.85,45.44,91.87,675.6,409.5,152.0,307.37,2026-06-30,82.87,2025-09-03
AMAT,Applied Materials,半導体製造装置,US,602.5,2.35,6271000,13009175,0.48,"8622800,12552400,7535700,14418000,6271000",723.0,155.56,78.8,608.72,507.99,348.66,48.6,25.4289,37.5003,-12.0713,700.99,516.44,46.6,なし,56.84,1.44,478360567808.0,11.4,36.0,602.7714,0.0,2026-07-11T22:44:38.147951,131.16,135.52,196.49,359.4,344.6,206.6,739.67,2026-06-30,153.78,2025-09-03
CDNS,Cadence Design,半導体EDA,US,384.17,-0.46,940500,2319485,0.41,"1871500,1571000,1430100,1586200,940500",416.39,265.66,78.6,380.2,372.55,327.87,47.7,1.3314,1.969,-0.6376,395.11,365.29,63.3,なし,89.34,3.55,105960235008.0,18.7,,388.7796,1.2,2026-07-11T22:44:38.517135,137.73,232.74,320.6,178.9,65.1,19.8,416.69,2026-06-02,262.75,2026-02-03
SNPS,Synopsys,半導体EDA,US,445.5,0.48,839500,1998050,0.42,"1486500,1484700,1327900,1245000,839500",645.35,380.47,24.6,450.84,478.82,455.81,43.9,-9.7385,-9.6586,-0.0799,468.99,432.69,35.3,なし,101.95,2.33,85304041472.0,41.9,,563.7438,26.5,2026-07-11T22:44:38.793630,278.56,441.35,559.28,59.9,0.9,-20.3,651.73,2025-07-30,376.18,2025-11-18
TSM,TSMC,半導体ファウンドリ,US,434.11,-0.65,9573500,14342340,0.67,"12788500,14898400,11411200,11455600,9573500",477.57,202.2,84.2,441.11,423.37,346.87,42.3,4.7032,7.5597,-2.8566,470.66,411.56,38.2,なし,37.75,1.37,2251500027904.0,35.1,87.0,490.34027,13.0,2026-07-11T22:44:39.097443,113.04,99.58,227.88,284.0,335.9,90.5,479.0,2026-06-30,221.25,2025-08-20
INTC,Intel,半導体,US,109.84,-2.4,70619700,125371385,0.56,"86950200,140405900,105488100,99352500,70619700",140.94,19.31,74.4,124.58,117.0,62.47,33.1,-0.1231,3.1731,-3.2962,143.84,105.32,11.7,なし,69.98,1.36,552055799808.0,7.2,,100.87619,-8.2,2026-07-11T22:44:39.420306,51.91,33.3,23.43,111.6,229.8,368.8,142.35,2026-06-30,18.97,2025-08-01
QCOM,Qualcomm,半導体/通信,US,189.16,-1.02,7060000,20640030,0.34,"15510500,16253600,10306800,12895200,7060000",250.1,123.61,51.8,198.72,206.44,167.55,29.2,-6.4011,-5.0769,-1.3241,228.92,168.51,34.2,なし,20.32,0.59,199374651392.0,-3.5,195.0,220.22581,16.4,2026-07-11T22:44:39.740196,127.89,111.19,154.21,47.9,70.1,22.7,258.96,2026-05-29,121.54,2026-04-07
MU,Micron Technology,半導体/メモリ,US,979.3,-1.24,31563700,53649380,0.59,"37115800,52367500,42979000,41110700,31563700",1213.37,104.71,78.9,1053.44,898.92,464.3,40.4,19.4243,47.8795,-28.4552,1223.47,883.4,28.2,なし,22.13,0.14,1106014765056.0,345.7,5.0,1486.0,51.7,2026-07-11T22:44:40.135343,77.58,63.09,124.33,1162.3,1452.3,687.7,1254.81,2026-06-25,103.21,2025-08-01
META,Meta Platforms,テック/広告,US,669.21,5.97,40563100,20295630,2.0,"17674100,18560800,13606500,26579700,40563100",787.42,525.23,54.9,584.55,600.08,641.67,68.7,8.6083,-2.5583,11.1666,646.96,522.14,117.8,なし,24.33,0.87,1698738339840.0,33.1,31.0,827.91,23.7,2026-07-11T22:44:40.409103,350.09,306.65,715.17,91.2,118.2,-6.4,793.65,2025-08-15,519.78,2026-03-27
PLTR,Palantir,AI/ソフトウェア,US,126.79,-1.74,31097600,44660925,0.7,"37360100,52570400,40587800,35286100,31097600",207.18,107.27,19.5,124.92,133.25,156.8,48.5,-1.4478,-3.096,1.6482,141.68,108.16,55.6,なし,142.46,1.9,303955181568.0,84.7,,183.12444,44.4,2026-07-11T22:44:40.710717,22.95,16.59,142.1,452.5,664.3,-10.8,207.52,2025-11-03,106.37,2026-06-25
