ticker,name,sector,market,price,change_pct,volume,vol_avg_20d,vol_ratio,vol_5d,high_52w,low_52w,pos_52w_pct,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_histogram,bb_upper,bb_lower,bb_position,cross_signal,pe_ratio,peg_ratio,market_cap,revenue_growth_pct,dividend_yield_pct,target_price,upside_pct,fetch_time,price_5y_ago,price_3y_ago,price_1y_ago,change_5y_pct,change_3y_pct,change_1y_pct,high_1y,high_1y_date,low_1y,low_1y_date
NVDA,NVIDIA,半導体/AI,US,202.06,0.19,118513377,157796878,0.75,"161307000,185338400,134012900,159843200,118513377",207.02,94.29,95.6,182.91,183.9,181.98,98.6,5.3438,2.4365,2.9073,205.83,159.99,91.8,なし,41.24,0.72,4911068086272.0,73.2,2.0,268.6148,32.9,2026-04-20T22:41:26.293720,15.32,27.1,101.47,1218.8,645.7,99.1,212.17,2025-10-29,95.02,2025-04-21
AMD,AMD,半導体/AI,US,274.95,-1.24,34150976,35637398,0.96,"25733200,24695200,64850800,35441000,34150976",278.39,78.21,98.3,230.4,213.78,203.13,96.0,17.6656,11.5753,6.0903,285.0,175.81,90.8,なし,104.94,0.83,448281477120.0,34.1,,291.52173,6.0,2026-04-20T22:41:26.788030,81.61,88.43,87.5,236.9,210.9,214.2,287.61,2026-04-20,83.75,2025-04-21
AVGO,Broadcom,半導体/AI,US,399.63,-1.7,16844816,23165905,0.73,"24423000,29559300,18872900,20492100,16844816",411.32,145.11,95.6,344.4,334.8,332.72,94.2,20.64,12.3807,8.2593,420.7,268.1,86.2,なし,78.05,0.88,1894755205120.0,29.5,64.0,475.49295,19.0,2026-04-20T22:41:27.567229,41.6,60.82,169.62,860.7,557.1,135.6,412.95,2025-12-10,160.31,2025-04-21
MRVL,Marvell Technology,半導体,US,147.84,5.83,38692791,27633384,1.4,"33600700,23450100,20830200,26307300,38692791",147.84,49.24,100.0,113.8,95.48,84.41,97.8,13.6748,10.668,3.0068,150.84,76.75,95.9,なし,48.16,1.64,129279901696.0,22.1,17.0,126.95039,-14.1,2026-04-20T22:41:28.242144,46.57,38.63,51.56,217.5,282.7,186.7,149.58,2026-04-20,47.96,2025-04-21
LRCX,Lam Research,半導体製造装置,US,263.16,-1.66,5948679,8996313,0.66,"8500600,11324200,7829400,8457100,5948679",272.41,58.66,95.7,239.66,232.59,166.8,80.9,11.8164,8.527,3.2894,286.76,192.56,74.9,なし,54.04,1.92,330536845312.0,22.1,39.0,281.2258,6.9,2026-04-20T22:41:29.141258,60.79,50.24,63.3,332.9,423.8,315.8,273.5,2026-04-14,60.7,2025-04-21
KLAC,KLA Corporation,半導体検査装置,US,1805.32,0.77,622472,845468,0.74,"871300,1163900,832300,724800,622472",1805.32,572.19,100.0,1613.88,1525.89,1218.28,88.4,84.6372,64.763,19.8742,1890.78,1336.98,84.6,なし,52.48,1.99,237205209088.0,7.2,42.0,1700.3103,-5.8,2026-04-20T22:41:29.798251,314.83,361.88,629.66,473.4,398.9,186.7,1806.74,2026-04-20,603.13,2025-04-21
AMAT,Applied Materials,半導体製造装置,US,391.62,-1.34,3736924,5783171,0.65,"5353200,5925100,5113000,6013700,3736924",399.49,125.82,97.1,370.1,360.03,259.78,81.4,12.6289,10.162,2.4669,419.96,320.25,71.6,なし,40.12,1.89,310793502720.0,-2.1,53.0,422.96875,8.0,2026-04-20T22:41:30.300981,129.41,110.56,136.24,202.6,254.2,187.4,407.29,2026-04-10,131.62,2025-04-21
CDNS,Cadence Design,半導体EDA,US,318.5,2.4,2211454,2223587,0.99,"2182500,2514300,2158500,2211300,2211454",373.37,231.64,61.3,286.72,291.29,321.27,74.2,4.7103,-0.0973,4.8077,314.64,258.81,106.9,なし,78.26,2.78,87935320064.0,6.2,,371.15927,16.5,2026-04-20T22:41:31.001564,141.5,213.0,260.22,125.1,49.5,22.4,376.45,2025-07-31,247.7,2025-04-21
SNPS,Synopsys,半導体EDA,US,460.95,2.53,2077939,1743416,1.19,"1255700,2038100,1382000,1718200,2077939",645.35,380.47,30.4,412.1,423.35,482.81,83.8,5.4988,-2.4098,7.9086,456.58,367.62,104.9,なし,70.7,2.97,88300519424.0,65.5,,533.52423,15.7,2026-04-20T22:41:31.559137,252.56,377.26,413.32,82.5,22.2,11.5,651.73,2025-07-30,376.18,2025-11-18
TSM,TSMC,半導体ファウンドリ,US,366.24,-1.15,11012202,13486320,0.82,"12859500,14955500,26405800,18389700,11012202",386.64,139.64,91.7,351.55,354.47,296.97,75.1,7.166,4.8316,2.3344,388.49,314.61,69.9,なし,31.49,1.23,1899467243520.0,35.1,95.0,457.72916,25.0,2026-04-20T22:41:32.187945,108.06,81.67,149.88,238.9,348.4,144.3,389.11,2026-02-25,144.06,2025-04-21
