ticker,name,sector,market,price,change_pct,volume,vol_avg_20d,vol_ratio,vol_5d,high_52w,low_52w,pos_52w_pct,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_histogram,bb_upper,bb_lower,bb_position,cross_signal,pe_ratio,peg_ratio,market_cap,revenue_growth_pct,dividend_yield_pct,target_price,upside_pct,fetch_time,price_5y_ago,price_3y_ago,price_1y_ago,change_5y_pct,change_3y_pct,change_1y_pct,high_1y,high_1y_date,low_1y,low_1y_date
NVDA,NVIDIA,半導体/AI,US,196.5,-1.0,109909042,147104922,0.75,"123711800,225239200,128647000,125368100,109909042",216.61,94.29,83.6,199.19,187.42,184.09,47.6,4.6859,5.883,-1.1971,216.72,181.65,42.3,なし,40.1,0.63,4775932329984.0,73.2,2.0,269.16544,37.0,2026-05-05T22:54:06.921979,14.49,28.65,113.79,1256.4,585.8,72.7,216.83,2026-04-27,110.79,2025-05-06
AMD,AMD,半導体/AI,US,355.26,4.02,44081691,41176234,1.07,"44704400,42115300,34279200,42000200,44081691",360.54,78.21,98.1,297.65,241.38,213.28,75.4,34.3464,30.2189,4.1275,385.71,209.59,82.7,なし,136.64,,579219816448.0,34.1,,312.28262,-12.1,2026-05-05T22:54:07.791767,77.89,89.84,100.59,356.1,295.4,253.2,362.79,2026-05-01,96.88,2025-05-07
AVGO,Broadcom,半導体/AI,US,427.36,2.61,19408525,21283896,0.91,"15962500,21821600,11882600,15140400,19408525",427.36,145.11,100.0,400.63,352.83,340.4,64.5,21.2371,21.4388,-0.2017,445.77,355.49,79.6,なし,83.47,0.91,2023407747072.0,29.5,62.0,475.49295,11.3,2026-05-05T22:54:08.518608,40.58,60.55,199.11,953.0,605.8,114.6,433.39,2026-05-05,194.37,2025-05-06
MRVL,Marvell Technology,半導体,US,168.75,3.11,21337517,28147215,0.76,"20649000,20327000,13071700,14547000,21337517",168.75,49.24,100.0,147.62,113.31,89.27,76.6,15.8617,15.7797,0.082,181.26,113.98,81.4,なし,54.79,1.92,147564822528.0,22.1,15.0,130.28372,-22.8,2026-05-05T22:54:09.222672,44.67,40.56,61.81,277.8,316.0,173.0,172.98,2026-05-05,53.63,2025-05-07
LRCX,Lam Research,半導体製造装置,US,275.8,6.66,11781435,9446956,1.25,"9585300,10381100,8094500,6497400,11781435",275.8,58.66,100.0,261.21,238.04,175.61,55.8,7.163,7.7043,-0.5414,275.99,246.43,99.4,なし,52.04,1.53,344907481088.0,23.8,40.0,310.46875,12.6,2026-05-05T22:54:09.922472,58.54,51.47,73.37,371.2,435.9,275.9,279.99,2026-05-05,72.06,2025-05-06
KLAC,KLA Corporation,半導体検査装置,US,1732.9,1.14,1189054,966787,1.23,"1092100,1890600,789200,791600,1189054",1935.0,572.19,85.2,1778.86,1599.78,1266.55,48.5,47.8739,69.3068,-21.433,1903.42,1654.3,31.6,なし,49.1,1.82,226364440576.0,11.5,44.0,1814.2759,4.7,2026-05-05T22:54:10.522910,299.75,375.2,688.07,478.1,361.9,151.8,1939.36,2026-04-24,670.19,2025-05-07
AMAT,Applied Materials,半導体製造装置,US,410.82,4.97,6291917,5811770,1.08,"5116400,7050000,4586500,5062300,6291917",417.04,125.82,97.9,396.01,370.51,270.99,57.0,8.7469,9.9421,-1.1952,413.88,378.14,91.4,なし,42.14,1.86,326030819328.0,-2.1,54.0,424.375,3.3,2026-05-05T22:54:11.434484,126.23,113.1,153.24,225.4,263.2,168.1,420.5,2026-04-24,150.17,2025-05-07
CDNS,Cadence Design,半導体EDA,US,353.63,1.18,1949710,2689515,0.72,"2949700,2077800,1825700,3152200,1949710",373.37,231.64,86.1,316.37,300.25,322.0,73.1,14.6438,11.2524,3.3913,363.88,268.87,89.2,なし,82.24,3.32,97536811008.0,18.7,,379.45557,7.3,2026-05-05T22:54:12.651464,126.9,205.24,308.83,178.7,72.3,14.5,376.45,2025-07-31,262.75,2026-02-03
SNPS,Synopsys,半導体EDA,US,502.51,1.01,1881419,1734350,1.08,"1159500,1341700,845900,1642500,1881419",645.35,380.47,46.1,458.59,434.72,478.62,72.2,20.3772,16.5904,3.7868,529.05,388.13,81.2,なし,77.07,3.28,96261840896.0,65.5,,534.6481,6.4,2026-05-05T22:54:13.464294,237.46,371.56,477.41,111.6,35.2,5.3,651.73,2025-07-30,376.18,2025-11-18
TSM,TSMC,半導体ファウンドリ,US,394.41,-1.79,14373624,14062821,1.02,"10313000,12788100,9926400,9978500,14373624",404.98,139.64,96.0,382.41,361.08,305.83,59.6,12.5274,11.6676,0.8598,411.4,353.42,70.7,なし,33.85,1.25,2045568090112.0,35.1,87.0,463.4514,17.5,2026-05-05T22:54:14.290526,107.69,81.29,174.24,266.2,385.2,126.4,414.5,2026-04-27,168.5,2025-05-06
