ticker,name,market,price,change_1d_pct,change_5d_pct,vol_ratio,vol_avg_5d,vol_avg_20d,near_high_pct,alerts,alert_count,scan_time,in_watchlist
DELL,Dell Technologies Inc.,US,457.5400085449219,7.12,9.65,0.88,6934225,7856551,-1.81,単日急騰 +7.1% / 新高値圏,2,2026-07-14 22:55,True
4443.T,SANSAN INC,JP,1850.0,9.14,8.89,1.43,2283920,1592275,0.0,単日急騰 +9.1% / 新高値圏,2,2026-07-14 22:55,True
HPE,Hewlett Packard Enterprise Comp,US,49.560001373291016,4.91,14.01,0.84,19951821,23863385,-11.48,5日急騰 +14.0%,1,2026-07-14 22:55,True
9984.T,SOFTBANK GROUP CORP,JP,6574.0,3.3,13.91,0.94,52985900,56160395,-23.84,5日急騰 +13.9%,1,2026-07-14 22:55,True
4661.T,ORIENTAL LAND CO,JP,2745.0,3.58,6.21,1.08,5977440,5519210,0.0,新高値圏,1,2026-07-14 22:55,True
4385.T,MERCARI INC,JP,4771.0,1.25,5.74,0.99,1879480,1893375,-0.29,新高値圏,1,2026-07-14 22:55,True
SNOW,Snowflake Inc.,US,275.94000244140625,2.71,5.02,0.67,4341038,6438594,-1.51,新高値圏,1,2026-07-14 22:55,True
NET,"Cloudflare, Inc.",US,281.75,4.53,4.81,0.9,2954923,3272945,0.0,新高値圏,1,2026-07-14 22:55,True
8306.T,MITSUBISHI UFJ FINANCIAL GROUP ,JP,3600.0,1.67,4.47,1.11,38723720,34925555,0.0,新高値圏,1,2026-07-14 22:55,True
7752.T,RICOH CO,JP,1532.5,2.23,3.76,1.01,2046820,2020785,0.0,新高値圏,1,2026-07-14 22:55,False
6988.T,NITTO DENKO CORP,JP,3324.0,3.2,3.45,1.07,3139580,2945635,-1.48,新高値圏,1,2026-07-14 22:55,False
TMO,Thermo Fisher Scientific Inc,US,534.0700073242188,1.05,3.38,0.72,1507967,2080866,0.0,新高値圏,1,2026-07-14 22:55,True
XYZ,"Block, Inc.",US,79.98999786376953,1.61,3.13,0.69,4097217,5903374,0.0,新高値圏,1,2026-07-14 22:55,True
8411.T,MIZUHO FINANCIAL GROUP,JP,8480.0,0.75,3.08,0.88,7615220,8664815,0.0,新高値圏,1,2026-07-14 22:55,True
6098.T,RECRUIT HOLDINGS CO LTD,JP,12660.0,2.51,2.93,1.04,4236220,4076090,0.0,新高値圏,1,2026-07-14 22:55,True
8316.T,SUMITOMO MITSUI FINANCIAL GROUP,JP,6967.0,0.61,2.28,0.94,11146860,11854015,0.0,新高値圏,1,2026-07-14 22:55,True
9433.T,KDDI CORPORATION,JP,2835.0,0.91,2.02,0.87,7708220,8855805,0.0,新高値圏,1,2026-07-14 22:55,True
7751.T,CANON INC,JP,4388.0,1.76,1.67,0.8,3168280,3968415,-0.4,新高値圏,1,2026-07-14 22:55,False
MA,Mastercard Incorporated,US,538.02001953125,0.06,1.37,0.67,2667776,4008784,-0.09,新高値圏,1,2026-07-14 22:55,True
AAPL,Apple Inc.,US,314.8599853515625,-0.77,1.35,0.63,40608046,64462031,-0.77,新高値圏,1,2026-07-14 22:55,True
V,Visa Inc.,US,356.0199890136719,-0.48,1.08,0.77,7525448,9748347,-1.69,新高値圏,1,2026-07-14 22:55,True
2413.T,M3 INC,JP,1945.0,3.76,1.07,0.82,3195940,3885125,0.0,新高値圏,1,2026-07-14 22:55,True
AFRM,"Affirm Holdings, Inc.",US,84.44999694824219,3.08,0.99,0.79,3506167,4419456,-1.55,新高値圏,1,2026-07-14 22:55,True
EA,Electronic Arts Inc.,US,206.64999389648438,0.15,0.59,0.66,1364380,2057220,0.0,新高値圏,1,2026-07-14 22:55,True
UNH,UnitedHealth Group Incorporated,US,425.19000244140625,-0.91,-0.7,0.74,4435080,5975070,-1.5,新高値圏,1,2026-07-14 22:55,False
GD,General Dynamics Corporation,US,369.5,-0.88,-1.37,0.66,903473,1373458,-1.96,新高値圏,1,2026-07-14 22:55,False
ABNB,"Airbnb, Inc.",US,146.5399932861328,0.14,-1.52,0.86,3282049,3822212,-1.6,新高値圏,1,2026-07-14 22:55,True
